ote,tp,mss_lb,entry,sl,n,is_pf,is_net,is_pos,is_yrs,oos_pf,oos_net,oos_pos,oos_yrs,full_net,full_pf,pass_
"(0.5, 0.705)",rr3.0,8,ce,sweep,1882,0.9795780342825988,-13.786096290502286,3,10,1.12850130278009,85.24000023536598,9,11,71.4539039448637,1.053387485831995,False
"(0.5, 0.705)",rr3.0,8,ce,fvg,1882,0.4818106210362623,-601.4454552767504,0,10,0.6226291446520132,-400.314458247032,0,11,-1001.7599135237824,0.5490545481215934,False
"(0.62, 0.79)",nl2.0,2,edge,sweep,2739,1.1643276958081386,123.30244615949249,7,10,1.2591361664159968,192.92229253618115,10,11,316.22473869567364,1.2115460161190703,False
"(0.62, 0.79)",nl2.0,2,edge,fvg,2739,0.8053040131022868,-255.98784847497137,1,10,0.9642361423236326,-47.60001368894213,3,11,-303.5878621639135,0.8852549955314193,False
"(0.62, 0.79)",nl2.0,2,ce,sweep,4041,1.014534637563291,18.848021075328518,4,10,1.1161453946365187,134.27094652636083,7,11,153.11896760168938,1.0624255582141282,False
"(0.62, 0.79)",nl2.0,2,ce,fvg,4041,0.59390381961727,-1178.9003236810413,0,10,0.6532437875215855,-929.2892053309072,0,11,-2108.1895290119483,0.6223883876755375,False
"(0.62, 0.79)",nl2.0,3,edge,sweep,2006,1.5359508512332298,261.3265814268268,9,10,1.6039409252962242,302.92672247100245,11,11,564.2533038978293,1.5704266499790116,True
"(0.62, 0.79)",nl2.0,3,edge,fvg,2006,0.8192714781268683,-181.48184984788162,2,10,0.9618764679846524,-38.588164168815304,7,11,-220.07001401669692,0.8908575505075063,False
"(0.62, 0.79)",nl2.0,3,ce,sweep,2927,1.2757539897480321,234.9537285200906,7,10,1.3838049232364513,307.18937088309053,10,11,542.1430994031812,1.3280903747728463,False
"(0.62, 0.79)",nl2.0,3,ce,fvg,2927,0.6331920325884003,-768.2133089860054,0,10,0.6775690459942585,-648.2229074009109,0,11,-1416.4362163869164,0.6549270320348334,False
"(0.62, 0.79)",nl2.0,5,edge,sweep,1267,1.8055012834129638,245.50694232635416,10,10,1.644182744794341,224.65825901918868,10,11,470.1652013455428,1.7194163050092848,True
"(0.62, 0.79)",nl2.0,5,edge,fvg,1267,0.865561912146981,-89.81274396553837,3,10,0.8687673285886083,-91.84871381785874,4,11,-181.66145778339708,0.8672019149391536,False
"(0.62, 0.79)",nl2.0,5,ce,sweep,1746,1.444887471490333,215.9519197657361,9,10,1.5559258909366915,275.55928696287646,11,11,491.51120672861254,1.500987762777434,True
