risk_pct,month,year,trades,start_equity,end_equity,pnl_usd,return_pct,max_dd_usd
0.03,2020-10,2020,28,5000.0,6600.0481892913085,1600.0481892913085,32.00096378582617,-483.30475128420767
0.03,2020-11,2020,34,5000.0,7720.602363278562,2720.602363278562,54.41204726557123,-339.8883566578852
0.03,2020-12,2020,27,5000.0,5593.381388657661,593.3813886576609,11.867627773153222,-625.1796752300561
0.03,2021-01,2021,27,5000.0,5804.216427601338,804.2164276013382,16.084328552026772,-653.3039726818561
0.03,2021-02,2021,30,5000.0,6536.144579311624,1536.1445793116236,30.72289158623247,-933.6736472305374
0.03,2021-03,2021,32,5000.0,5367.488206726691,367.4882067266908,7.349764134533809,-685.2221444812985
0.03,2021-04,2021,33,5000.0,4121.614218853016,-878.3857811469843,-17.567715622939684,-1330.563471692792
0.03,2021-05,2021,30,5000.0,7357.297535523986,2357.297535523986,47.14595071047971,-427.41721162042813
0.03,2021-06,2021,26,5000.0,6494.597984787725,1494.5979847877252,29.89195969575451,-446.2596968350117
0.03,2021-07,2021,32,5000.0,5911.904908664633,911.9049086646328,18.23809817329265,-559.4151456982318
0.03,2021-08,2021,26,5000.0,5707.071491174203,707.0714911742034,14.141429823484074,-633.8305888437344
0.03,2021-09,2021,41,5000.0,8122.723095045887,3122.723095045887,62.45446190091775,-651.5250638503239
0.03,2021-10,2021,29,5000.0,7817.015745066815,2817.015745066815,56.340314901336285,-253.7061262384541
0.03,2021-11,2021,30,5000.0,8589.224062747302,3589.224062747302,71.78448125494603,-286.07699320566826
0.03,2021-12,2021,37,5000.0,5830.427587967558,830.4275879675579,16.608551759351165,-658.5645751346956
0.03,2022-01,2022,36,5000.0,6712.266340794323,1712.2663407943228,34.24532681588646,-613.3762124495006
0.03,2022-02,2022,24,5000.0,6006.385486618246,1006.3854866182464,20.127709732364927,-1000.5267699170954
0.03,2022-03,2022,39,5000.0,7089.0006864268325,2089.0006864268325,41.78001372853666,-920.8999221391323
0.03,2022-04,2022,35,5000.0,6524.113069870601,1524.113069870601,30.482261397412014,-833.0258705046108
0.03,2022-05,2022,33,5000.0,6203.219012760195,1203.2190127601953,24.0643802552039,-829.7880368797169
0.03,2022-06,2022,41,5000.0,6604.23077334917,1604.2307733491698,32.0846154669834,-1022.9321077469222
0.03,2022-07,2022,37,5000.0,6909.2564045148365,1909.2564045148365,38.18512809029673,-376.1974459582116
0.03,2022-08,2022,43,5000.0,6079.287987123676,1079.2879871236764,21.58575974247352,-766.3001714468783
0.03,2022-09,2022,38,5000.0,5856.400147092575,856.400147092575,17.128002941851506,-878.6635722840647
0.03,2022-10,2022,29,5000.0,7107.350228731849,2107.350228731849,42.14700457463698,-448.60036024890087
0.03,2022-11,2022,27,5000.0,6304.731166734426,1304.7311667344256,26.094623334688507,-587.8722760710216
0.03,2022-12,2022,39,5000.0,8640.566022274574,3640.5660222745737,72.81132044549148,-621.6939327251994
0.03,2023-01,2023,26,5000.0,6618.3251697521055,1618.3251697521055,32.3665033950421,-344.5351138885544
0.03,2023-02,2023,29,5000.0,5852.626785789522,852.6267857895218,17.05253571579044,-565.785553620226
0.03,2023-03,2023,30,5000.0,8345.74882688342,3345.7488268834204,66.91497653766841,-494.7983287241077
0.03,2023-04,2023,35,5000.0,8259.403272868583,3259.4032728685834,65.18806545737166,-289.18821140092405
0.03,2023-05,2023,26,5000.0,6363.872552888658,1363.872552888658,27.27745105777315,-456.1443015695377
0.03,2023-06,2023,26,5000.0,5267.194698202714,267.1946982027139,5.34389396405428,-706.4081667105402
0.03,2023-07,2023,25,5000.0,5825.800731773121,825.8007317731208,16.51601463546242,-519.5307454446429
0.03,2023-08,2023,31,5000.0,6638.23817007931,1638.2381700793103,32.76476340158621,-459.9504449320166
0.03,2023-09,2023,31,5000.0,5906.619061616615,906.619061616615,18.132381232332296,-528.8493591944689
0.03,2023-10,2023,35,5000.0,8275.636759674708,3275.6367596747077,65.51273519349417,-636.176635975181
0.03,2023-11,2023,35,5000.0,7205.772282837578,2205.772282837578,44.11544565675156,-403.64985431077
0.03,2023-12,2023,26,5000.0,8191.201949935157,3191.2019499351572,63.824038998703145,-267.17212416801067
0.03,2024-01,2024,36,5000.0,8376.899978585243,3376.899978585243,67.53799957170486,-541.7801756441668
0.03,2024-02,2024,32,5000.0,6442.158173736508,1442.1581737365077,28.843163474730147,-893.1349921461806
0.03,2024-03,2024,28,5000.0,5356.721812950462,356.72181295046175,7.134436259009225,-500.1926008638011
0.03,2024-04,2024,43,5000.0,8693.00136439251,3693.0013643925104,73.86002728785022,-620.9660135160902
0.03,2024-05,2024,38,5000.0,7687.936239604738,2687.936239604738,53.75872479209476,-1042.423591909279
0.03,2024-06,2024,35,5000.0,6570.080497249918,1570.0804972499182,31.401609944998366,-871.084810743384
0.03,2024-07,2024,34,5000.0,6527.113514809756,1527.1135148097565,30.54227029619514,-661.7088398386331
0.03,2024-08,2024,33,5000.0,7053.882230597863,2053.882230597863,41.07764461195727,-468.47373422350574
0.03,2024-09,2024,30,5000.0,7392.967360519678,2392.9673605196776,47.85934721039355,-507.0617472947306
0.03,2024-10,2024,37,5000.0,7703.996688494222,2703.9966884942223,54.07993376988445,-652.5917676732852
0.03,2024-11,2024,20,5000.0,6089.879101641624,1089.8791016416244,21.797582032832487,-366.2259723852958
0.03,2024-12,2024,25,5000.0,6835.052275982791,1835.052275982791,36.70104551965583,-227.53583050854195
