direction,pivot_lb,impulse_atr,fib,tol,wait_h,session,atr_pad,tp,n,net,yr_r,wr,pf,dd,mar,pos_years,years_dict,trades_per_year,gate_trades_yr_ge_200,gate_pf_ge_1p3,gate_mar_ge_1p5,gate_pos_years_ge_7,gate_ALL_PASS,label
long,3,1.0,0.786,0.2,72,london_ny,0.5,3.0,2048,62.316003413523305,9.289026198690557,0.31787109375,1.039115796396521,-142.15645880910643,0.06534368031187557,5/8,"{2019: -10.0, 2020: -52.82, 2021: -48.06, 2022: 10.61, 2023: 6.82, 2024: 105.13, 2025: 24.81, 2026: 25.82}",305.2815426669331,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait72h_sesslondon_ny_pad0.5_TP3.0R
long,3,1.0,0.786,0.2,72,london_ny,0.5,4.0,2048,91.90715524376333,13.699979558078796,0.28466796875,1.055059776630448,-168.32939285843676,0.08138792236719071,5/8,"{2019: -12.52, 2020: -55.27, 2021: -51.96, 2022: 6.65, 2023: 24.41, 2024: 121.52, 2025: 45.12, 2026: 13.95}",305.2815426669331,True,False,False,False,False,long_lb3_imp1.0_fib0.786_tol0.2_wait72h_sesslondon_ny_pad0.5_TP4.0R
short,3,1.0,0.382,0.2,24,all,0.5,2.0,2239,-210.82413593863976,-31.42038790231079,0.3586422510049129,0.8417446149932589,-229.3599397610814,-0.1369916121143066,1/8,"{2019: -37.58, 2020: -24.78, 2021: -45.92, 2022: -2.1, 2023: -0.21, 2024: -65.32, 2025: -47.18, 2026: 12.26}",333.6916250127512,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait24h_sessall_pad0.5_TP2.0R
short,3,1.0,0.382,0.2,24,all,0.5,3.0,2239,-217.73384492799127,-32.45018335609459,0.33363108530594016,0.8426221797894771,-246.92747842627077,-0.13141584550616864,2/8,"{2019: -42.92, 2020: -21.43, 2021: -33.0, 2022: 10.17, 2023: -14.68, 2024: -66.81, 2025: -62.66, 2026: 13.61}",333.6916250127512,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait24h_sessall_pad0.5_TP3.0R
short,3,1.0,0.382,0.2,24,all,0.5,4.0,2239,-181.89098421165164,-27.10830642999317,0.3278249218401072,0.8695154939476153,-217.22051107591912,-0.12479625563775029,1/8,"{2019: -40.63, 2020: -11.85, 2021: -13.62, 2022: -9.72, 2023: -12.62, 2024: -55.22, 2025: -58.97, 2026: 20.74}",333.6916250127512,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait24h_sessall_pad0.5_TP4.0R
short,3,1.0,0.382,0.2,24,london_ny,0.5,2.0,2083,-206.20499573915606,-30.74163883450441,0.35909745559289485,0.8345893376104185,-215.06612353029342,-0.14294040516415527,1/8,"{2019: -38.48, 2020: -28.39, 2021: -23.51, 2022: -8.21, 2023: -11.71, 2024: -50.01, 2025: -48.48, 2026: 2.58}",310.53968145987636,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait24h_sesslondon_ny_pad0.5_TP2.0R
short,3,1.0,0.382,0.2,24,london_ny,0.5,3.0,2083,-224.30678479080998,-33.44030604811674,0.3355736917906865,0.8262718593590128,-241.80717653724372,-0.13829327370259495,2/8,"{2019: -44.82, 2020: -26.61, 2021: -20.53, 2022: 5.08, 2023: -24.15, 2024: -53.9, 2025: -64.06, 2026: 4.7}",310.53968145987636,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait24h_sesslondon_ny_pad0.5_TP3.0R
short,3,1.0,0.382,0.2,24,london_ny,0.5,4.0,2083,-189.23050652576978,-28.211032750361788,0.3298127700432069,0.8544875094340573,-210.98783336570182,-0.13370928693060732,1/8,"{2019: -42.69, 2020: -22.67, 2021: -1.0, 2022: -11.5, 2023: -15.11, 2024: -44.09, 2025: -62.1, 2026: 9.95}",310.53968145987636,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait24h_sesslondon_ny_pad0.5_TP4.0R
short,3,1.0,0.382,0.2,72,all,0.5,2.0,2437,-217.41654427125422,-32.40202189602637,0.36192039392695935,0.8481225292875618,-231.28135433481737,-0.14009785609054837,3/8,"{2019: -40.72, 2020: -31.12, 2021: -51.42, 2022: 16.46, 2023: 0.19, 2024: -60.51, 2025: -55.14, 2026: 4.83}",363.1909780614449,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait72h_sessall_pad0.5_TP2.0R
short,3,1.0,0.382,0.2,72,all,0.5,3.0,2437,-225.80097302887577,-33.6515700622008,0.33771029954862536,0.8480475839905793,-251.66972330056407,-0.13371322390660162,2/8,"{2019: -46.07, 2020: -26.2, 2021: -37.46, 2022: 30.07, 2023: -15.28, 2024: -67.54, 2025: -70.5, 2026: 7.18}",363.1909780614449,True,False,False,False,False,short_lb3_imp1.0_fib0.382_tol0.2_wait72h_sessall_pad0.5_TP3.0R
