rule,n_flags,trades,net_r,r_per_year,wr_pct,pf,max_dd_r,mar,positive_years,total_years,positive_months,total_months
orb_inside + ny_main_or_overlap + ob_overlap_30d,3,601,-77.22737934768625,-11.494417402910516,46.92179700499168,0.7727198515515974,-84.22853181683205,-0.1364670279176527,1,8,27,82
orb_inside + ny_main_or_overlap + ob_fvg_bos_overlap_30d,3,412,-59.04279749522177,-8.831032672043305,46.116504854368934,0.7496343903555708,-61.1958874853373,-0.14430761665412964,1,8,22,80
orb_inside + ny_main_or_overlap + risk_ge_10,3,201,-10.182831764166163,-1.6284059990637878,48.756218905472636,0.9025290914010128,-17.810680188429124,-0.09142862495064602,3,7,16,40
orb_inside + ny_main_or_overlap + risk_ge_15,3,96,-5.34853917516614,-0.8553213370093838,47.91666666666667,0.8944865658864178,-8.298036735409365,-0.10307514467362604,2,5,7,17
orb_inside + ny_main_or_overlap + dir_demand,3,661,-54.50962005352173,-8.123067615074994,49.47049924357035,0.8472357033242388,-61.93570564738911,-0.13115322623949827,1,8,32,81
orb_inside + ny_main_or_overlap + dir_supply,3,614,-62.811993653352744,-9.348851133613321,48.697068403908794,0.8139423603289193,-77.09443447048534,-0.12126492914598672,1,8,32,82
orb_inside + avoid_after_hours + recent_fvg_20,3,1120,-103.35753357634061,-15.3710664245759,49.107142857142854,0.8304896972632669,-112.79007270920302,-0.13628031311058558,0,8,27,82
orb_inside + avoid_after_hours + zone_fvg_overlap_100,3,1136,-111.82961830462612,-16.631013064236438,48.767605633802816,0.8203445596259668,-120.43173687907601,-0.1380949365609119,1,8,25,82
orb_inside + avoid_after_hours + opposite_fvg_20,3,1108,-84.12089868216754,-12.510243584552807,49.81949458483754,0.8583376273427519,-96.51332879029087,-0.1296219262288187,1,8,35,82
orb_inside + avoid_after_hours + ob_overlap_30d,3,601,-77.22737934768625,-11.494417402910516,46.92179700499168,0.7727198515515974,-84.22853181683205,-0.1364670279176527,1,8,27,82
orb_inside + avoid_after_hours + ob_fvg_bos_overlap_30d,3,412,-59.04279749522177,-8.831032672043305,46.116504854368934,0.7496343903555708,-61.1958874853373,-0.14430761665412964,1,8,22,80
orb_inside + avoid_after_hours + risk_ge_10,3,201,-10.182831764166163,-1.6284059990637878,48.756218905472636,0.9025290914010128,-17.810680188429124,-0.09142862495064602,3,7,16,40
orb_inside + avoid_after_hours + risk_ge_15,3,96,-5.34853917516614,-0.8553213370093838,47.91666666666667,0.8944865658864178,-8.298036735409365,-0.10307514467362604,2,5,7,17
orb_inside + avoid_after_hours + dir_demand,3,661,-54.50962005352173,-8.123067615074994,49.47049924357035,0.8472357033242388,-61.93570564738911,-0.13115322623949827,1,8,32,81
orb_inside + avoid_after_hours + dir_supply,3,614,-62.811993653352744,-9.348851133613321,48.697068403908794,0.8139423603289193,-77.09443447048534,-0.12126492914598672,1,8,32,82
orb_inside + recent_fvg_20 + zone_fvg_overlap_100,3,1337,-147.629609753784,-21.955095668798702,48.69109947643979,0.8007368655665159,-155.89632301324986,-0.1408313887360429,0,8,22,82
orb_inside + recent_fvg_20 + opposite_fvg_20,3,1266,-115.8526330173336,-17.229305459927158,49.5260663507109,0.8317518524530236,-126.77372769193228,-0.13590596232837293,0,8,26,82
orb_inside + recent_fvg_20 + ob_overlap_30d,3,676,-82.84247382578147,-12.330160376881288,47.781065088757394,0.7817030554269196,-89.35278506443483,-0.13799413603045121,1,8,21,82
orb_inside + recent_fvg_20 + ob_fvg_bos_overlap_30d,3,458,-56.252460684783685,-8.441335770385061,47.81659388646288,0.7809743815926505,-63.470657899367126,-0.13299587635862886,1,8,25,79
orb_inside + recent_fvg_20 + risk_ge_10,3,215,-8.417739990696854,-1.3461381486874018,49.30232558139535,0.9238924952275123,-19.92801145067635,-0.06755004893585176,2,7,17,42
orb_inside + recent_fvg_20 + risk_ge_15,3,108,-1.5219832931615884,-0.24339071708724613,50.0,0.9722032492400091,-8.244827656784645,-0.029520412944831004,2,6,9,19
orb_inside + recent_fvg_20 + dir_demand,3,744,-61.52033803512265,-9.16781047218627,50.0,0.8464573271637064,-69.43723556062837,-0.13203017657840793,2,8,30,81
orb_inside + recent_fvg_20 + dir_supply,3,708,-92.90009820106008,-13.827123418067316,47.740112994350284,0.7682395412045682,-104.003382064648,-0.13294878631420318,1,8,29,81
orb_inside + zone_fvg_overlap_100 + opposite_fvg_20,3,1289,-118.71343547258745,-17.65475663939844,49.49573312645462,0.8307633548191795,-127.18812752289742,-0.13880821255285866,0,8,26,82
orb_inside + zone_fvg_overlap_100 + ob_overlap_30d,3,691,-78.54575368299369,-11.690642433868561,48.191027496382056,0.7957333029938017,-82.21312170098014,-0.14219922795766052,1,8,24,82
orb_inside + zone_fvg_overlap_100 + ob_fvg_bos_overlap_30d,3,470,-62.52411965058646,-9.351734112357372,47.23404255319149,0.7650116296068531,-65.57659905873412,-0.14260779373418603,2,8,27,80
orb_inside + zone_fvg_overlap_100 + risk_ge_10,3,224,-3.6293731910466165,-0.5803977924823891,50.44642857142857,0.9677732755383124,-13.418263715816327,-0.04325431402859259,2,7,16,41
orb_inside + zone_fvg_overlap_100 + risk_ge_15,3,107,-4.499808449857519,-0.7195950246543165,48.598130841121495,0.9193125287991892,-8.3808817415128,-0.0858614936767292,2,6,9,18
orb_inside + zone_fvg_overlap_100 + dir_demand,3,765,-74.57296537226304,-11.112923542317045,49.28104575163399,0.8216624354020764,-78.06514333262346,-0.14235448841702117,0,8,30,81
orb_inside + zone_fvg_overlap_100 + dir_supply,3,711,-79.0007839492537,-11.758368515674375,48.66385372714487,0.7997476720046122,-91.27617076178755,-0.12882188656184265,1,8,30,82
orb_inside + opposite_fvg_20 + ob_overlap_30d,3,679,-65.10763375228407,-9.690531062763553,49.04270986745213,0.8246228337855801,-71.17451736915757,-0.13615169334415186,1,8,27,82
orb_inside + opposite_fvg_20 + ob_fvg_bos_overlap_30d,3,459,-52.39744027004032,-7.8628451350173485,48.148148148148145,0.7944890390598394,-57.39610294476005,-0.13699266555753473,1,8,33,78
