run,net_r,max_drawdown_r
575,256.1066749737151,-9.717228820011846
576,256.1066749737154,-6.684058986738762
577,256.10667497371514,-8.744296782063074
578,256.1066749737154,-12.454965368397922
579,256.10667497371503,-9.531794563652092
580,256.10667497371503,-10.736505345573363
581,256.1066749737156,-7.4349928179239555
582,256.10667497371514,-11.064091184482805
583,256.1066749737153,-9.610171384944465
584,256.10667497371514,-10.396848309672713
585,256.1066749737154,-9.356611398371967
586,256.10667497371486,-9.687654277863654
587,256.1066749737153,-9.194617849870014
588,256.10667497371566,-13.092805544878686
589,256.10667497371503,-14.613023295932024
590,256.1066749737152,-8.771294573983823
591,256.1066749737152,-10.572030408943817
592,256.1066749737154,-8.314263203965027
593,256.1066749737152,-6.711005685476458
594,256.10667497371526,-8.759531522689443
595,256.1066749737152,-8.708527412668104
596,256.10667497371526,-9.901823675747636
597,256.1066749737151,-9.16688816498251
598,256.1066749737152,-6.948301262931508
599,256.10667497371526,-7.180162302987355
600,256.10667497371526,-10.674765963726202
601,256.1066749737154,-11.64077109106184
602,256.1066749737152,-9.822283498580191
603,256.1066749737151,-9.468478583840914
604,256.1066749737153,-6.692191556308359
605,256.10667497371526,-7.462838469124847
606,256.1066749737152,-13.203980733454841
607,256.1066749737151,-10.797760244773059
608,256.1066749737152,-11.80223511465394
609,256.10667497371514,-8.277546735880478
610,256.1066749737154,-8.404906268988128
611,256.1066749737155,-9.367490588183987
612,256.10667497371554,-6.607105263945186
613,256.1066749737153,-9.493535016451574
614,256.10667497371526,-6.582318346734681
615,256.10667497371526,-8.584687789960071
616,256.10667497371526,-8.524243060201599
617,256.10667497371526,-6.847269469892495
618,256.1066749737155,-14.092029663315117
619,256.10667497371514,-8.721671745469308
620,256.1066749737153,-9.169339651473223
621,256.1066749737154,-8.614287765988905
622,256.10667497371514,-10.135679612137864
623,256.1066749737152,-9.609287694254007
624,256.106674973715,-13.617051123459788
625,256.1066749737151,-7.097481750847521
626,256.1066749737152,-10.799159069500718
627,256.10667497371526,-6.3715264816699175
628,256.10667497371503,-11.517603561372766
629,256.10667497371537,-8.839907204169663
630,256.1066749737155,-12.374275464298861
631,256.1066749737151,-7.997247369252904
632,256.10667497371514,-7.4281988047334195
633,256.10667497371514,-12.143433245816446
634,256.10667497371514,-7.447993410518279
635,256.1066749737153,-7.5986216495289085
636,256.1066749737155,-8.901747827580934
637,256.1066749737153,-7.814918122996673
638,256.10667497371526,-7.732489751576622
639,256.1066749737151,-8.367171699318448
640,256.10667497371514,-8.621422095149342
641,256.10667497371503,-7.573826213156405
