name,trades,net_r,years,avg_r_year,wr,pf,expectancy_r,max_dd_r,positive_years,negative_years,positive_months,negative_months,worst_year_r,best_year_r,worst_month_r,best_month_r,window_months,start_month,end_month
12m_2022-10_2023-10,81,9.03486837478122,2,4.51743418739061,0.5925925925925926,1.2691013369637452,0.11154158487384223,-8.58331325655281,2,0,5,7,3.7222905045078614,5.312577870273358,-2.2528096877259065,6.480448753271379,12,2022-10,2023-10
12m_2022-11_2023-11,79,3.124099373115175,2,1.5620496865575875,0.5569620253164557,1.0875969648453196,0.039545561685002215,-10.569089217331314,1,1,4,8,-0.037971226201967134,3.1620705993171407,-2.2528096877259065,6.480448753271379,12,2022-11,2023-11
12m_2022-12_2023-12,77,0.9496214044046856,2,0.4748107022023428,0.5324675324675324,1.0258886675834722,0.012332745511749163,-12.69492611683841,1,1,3,9,-0.08661229540535942,1.0362336998100448,-2.2528096877259065,6.480448753271379,12,2022-12,2023-12
12m_2023-01_2024-01,76,1.9900158597237718,2,0.9950079298618859,0.5394736842105263,1.055843809353165,0.026184419206891733,-12.69492611683841,2,0,4,8,0.9537821599137266,1.0362336998100448,-2.2528096877259065,6.480448753271379,12,2023-01,2024-01
12m_2023-02_2024-02,67,3.632122586621305,2,1.8160612933106526,0.5522388059701493,1.11941903504009,0.05421078487494485,-12.694926116838408,2,0,5,7,1.723246764916456,1.9088758217048487,-2.2528096877259065,6.480448753271379,12,2023-02,2024-02
12m_2023-03_2024-03,67,0.865983662505112,2,0.432991831252556,0.5373134328358209,1.027521201957841,0.012925129291121076,-12.694926116838408,2,0,4,8,0.030289881490811243,0.8356937810142997,-2.2528096877259065,6.480448753271379,12,2023-03,2024-03
12m_2023-04_2024-04,80,2.3633436480754164,2,1.1816718240377082,0.5375,1.064246688654339,0.029541795600942704,-12.694926116838413,1,1,4,8,-6.450158871780568,8.813502519855984,-2.2528096877259065,7.977808738841683,12,2023-04,2024-04
12m_2023-05_2024-05,84,1.4619138692279798,2,0.7309569346139899,0.5357142857142857,1.0369256752756626,0.017403736538428333,-12.69492611683841,1,1,4,8,-10.854684641507058,12.316598510735039,-2.2528096877259065,7.977808738841683,12,2023-05,2024-05
12m_2023-06_2024-06,91,4.186169577733698,2,2.093084788866849,0.5494505494505495,1.100445967609617,0.046001863491579094,-10.524550386425329,1,1,5,7,-9.569868584919039,13.756038162652738,-2.2528096877259065,7.977808738841683,12,2023-06,2024-06
12m_2023-07_2024-07,102,10.759837954972868,2,5.379918977486434,0.5784313725490197,1.2459290303767607,0.10548860740169479,-7.422036030886777,1,1,6,6,-7.317058897193133,18.076896852165998,-2.150507270956218,7.977808738841683,12,2023-07,2024-07
12m_2023-08_2024-08,120,23.99981242999531,2,11.999906214997655,0.6166666666666667,1.52374349426382,0.19999843691662758,-6.195954817007246,1,1,7,5,-6.288371209433148,30.28818363942846,-2.150507270956218,12.211286787262459,12,2023-08,2024-08
12m_2023-10_2024-09,130,25.62988519276351,2,12.814942596381755,0.6153846153846154,1.5128269427976233,0.19715296302125776,-5.397125237247923,1,1,8,4,-6.195954817007245,31.825840009770758,-2.150507270956218,12.211286787262459,12,2023-10,2024-09
12m_2023-11_2024-10,134,33.1010497466099,2,16.55052487330495,0.6343283582089553,1.6901272384753854,0.24702275930305898,-4.234253863323076,1,1,9,3,-4.2763441704633145,37.37739391707322,-2.150507270956218,12.211286787262459,12,2023-11,2024-10
12m_2023-12_2024-11,152,40.35646456921796,2,20.17823228460898,0.6447368421052632,1.7588773769012764,0.26550305637643395,-4.234253863323076,1,1,10,2,-2.125836899507096,42.482301468725055,-2.125836899507096,12.211286787262459,12,2023-12,2024-11
12m_2024-01_2024-12,157,39.16454748016467,1,39.16454748016467,0.6369426751592356,1.695838831387529,0.2494557164341699,-5.375690107531241,1,0,10,2,39.16454748016467,39.16454748016467,-3.317753988560386,12.211286787262459,12,2024-01,2024-12
12m_2024-02_2025-01,166,41.788662675018664,2,20.894331337509332,0.6385542168674698,1.7034895492535447,0.25173893177722084,-5.375690107531241,2,0,10,2,3.5778973547677184,38.21076532025094,-3.317753988560386,12.211286787262459,12,2024-02,2025-01
12m_2024-03_2025-02,178,43.41597251840682,2,21.70798625920341,0.6348314606741573,1.672437499897994,0.24390995796857762,-5.375690107531241,2,0,10,2,6.160300859946993,37.255671658459825,-3.317753988560386,12.211286787262459,12,2024-03,2025-02
12m_2024-04_2025-03,187,44.89420385910239,2,22.447101929551195,0.6310160427807486,1.6535845052607228,0.2400759564657882,-5.375690107531241,2,0,11,1,6.565350159952017,38.32885369915037,-3.317753988560386,12.211286787262459,12,2024-04,2025-03
12m_2024-05_2025-04,200,58.95234120469617,2,29.476170602348084,0.66,1.8616184245945298,0.29476170602348084,-5.375690107531248,2,0,11,1,28.60129624438748,30.35104496030869,-3.317753988560386,22.035946084435466,12,2024-05,2025-04
12m_2024-06_2025-05,209,61.86889618422439,2,30.934448092112195,0.6602870813397129,1.8655314962754654,0.29602342671877696,-5.375690107531248,2,0,11,1,26.847948969429634,35.020947214794745,-3.317753988560386,22.035946084435466,12,2024-06,2025-05
12m_2024-07_2025-06,222,66.52319499263467,2,33.261597496317336,0.6621621621621622,1.880399211469248,0.2996540314983544,-5.375690107531248,2,0,11,1,25.408509317511935,41.114685675122736,-3.317753988560386,22.035946084435466,12,2024-07,2025-06
12m_2024-08_2025-07,228,78.25014301474428,2,39.12507150737214,0.6842105263157895,2.079987957812904,0.3432023816436153,-5.375690107531248,2,0,11,1,21.087650627998674,57.1624923867456,-3.317753988560386,22.035946084435466,12,2024-08,2025-07
12m_2024-09_2025-08,224,65.34659312597498,2,32.67329656298749,0.6607142857142857,1.841946558741024,0.29172586216953117,-5.375690107531244,2,0,10,2,8.876363840736213,56.47022928523876,-3.317753988560386,22.035946084435466,12,2024-09,2025-08
12m_2024-10_2025-09,237,69.98851296809707,2,34.994256484048535,0.6624472573839663,1.8568857470296727,0.29531018129998765,-5.375690107531244,2,0,10,2,7.338707470393916,62.64980549770315,-3.317753988560386,22.035946084435466,12,2024-10,2025-09
12m_2024-11_2025-10,264,77.61024089265999,2,38.805120446329994,0.6628787878787878,1.8456655878532489,0.29397818519946967,-5.375690107531245,2,0,10,2,1.7871535630914495,75.82308732956854,-3.317753988560386,22.035946084435466,12,2024-11,2025-10
12m_2024-12_2025-11,272,73.86265503330586,2,36.93132751665293,0.6507352941176471,1.7557023483075338,0.27155387879891857,-5.305986034022624,1,1,10,2,-3.317753988560386,77.18040902186624,-3.317753988560386,22.035946084435466,12,2024-12,2025-11
12m_2025-01_2025-12,295,82.34868128048608,1,82.34868128048608,0.6542372881355932,1.7850063104935945,0.2791480721372409,-5.305986034022624,1,0,11,1,82.34868128048608,82.34868128048608,-0.6922631015068405,22.035946084435466,12,2025-01,2025-12
12m_2025-02_2026-01,317,88.09950668889387,2,44.049753344446934,0.6529968454258676,1.7799245902841718,0.2779164248861005,-5.305986034022624,2,0,11,1,9.328722763175511,78.77078392571836,-0.6922631015068405,22.035946084435466,12,2025-02,2026-01
12m_2025-03_2026-02,334,97.33316697795713,2,48.66658348897857,0.6586826347305389,1.8376023806593744,0.2914166675986741,-5.305986034022624,2,0,11,1,21.144786557418055,76.18838042053908,-0.6922631015068405,22.035946084435466,12,2025-03,2026-02
12m_2025-04_2026-03,350,111.54693524262603,2,55.77346762131302,0.6714285714285714,1.953179838406317,0.3187055292646458,-5.305986034022624,2,0,11,1,35.76360412209198,75.78333112053406,-0.6922631015068405,22.035946084435466,12,2025-04,2026-03
12m_2025-05_2026-04,350,109.78326795020054,2,54.89163397510027,0.6685714285714286,1.9298907152245566,0.31366647985771584,-5.305986034022624,2,0,11,1,53.74738503609859,56.03588291410194,-0.6922631015068405,20.272278792009963,12,2025-05,2026-04
12m_2025-06_2026-05,367,116.5188890904867,2,58.25944454524335,0.670299727520436,1.9466318825080273,0.3174901610095005,-5.305986034022624,2,0,11,1,47.32773406569133,69.19115502479536,-0.6922631015068405,20.272278792009963,12,2025-06,2026-05
12m_2025-07_2026-06,367,116.92243450463862,2,58.46121725231931,0.670299727520436,1.9508815747796673,0.31858973979465566,-5.305986034022627,2,0,11,1,41.23399560536334,75.68843889927527,-0.6922631015068405,20.272278792009963,12,2025-07,2026-06
18m_2019-06_2021-02,167,28.82173954367751,3,9.60724651455917,0.6047904191616766,1.428870954940545,0.17258526672860783,-6.510079201351881,3,0,11,7,0.11839003258696446,27.111676597127474,-2.6034085529281628,9.389592167658845,18,2019-06,2021-02
18m_2019-08_2021-03,172,29.615627920763476,3,9.871875973587825,0.6046511627906976,1.427475947621105,0.17218388326025277,-6.51007920135188,2,1,11,7,-0.19541741789244638,27.111676597127474,-2.6034085529281628,9.389592167658845,18,2019-08,2021-03
18m_2019-09_2021-04,174,29.178692036993347,3,9.726230678997782,0.603448275862069,1.4203728512856977,0.1676936323965135,-6.51007920135188,2,1,11,7,-0.7705368892684294,27.111676597127474,-2.6034085529281628,9.389592167658845,18,2019-09,2021-04
