n,sumR,deltaR,pf,wr,combo,depth
6691,1918.9,-6360.3,1.544,53.7,retr_0.2_0.5 & atrpct_0.3_0.9,2
6431,1908.9,-6370.3,1.561,53.2,retr_0.2_0.5 & sent_align,2
6031,1898.7,-6380.5,1.529,46.8,nyh_0_7 & leg_D,2
5630,1883.9,-6395.3,1.536,43.7,nyh_0_7 & retr_0.5_0.8,2
4389,1881.2,-6398.0,1.803,52.7,nyh_7_12 & sent_counter,2
5141,1864.7,-6414.5,1.699,54.7,nyh_0_7 & impulse_ge_q40,2
7355,1858.1,-6421.1,1.461,50.9,nyh_11_15,1
4681,1844.0,-6435.2,1.731,52.6,nyh_7_12 & atrpct_0.1_0.7,2
4700,1835.6,-6443.6,1.733,53.3,nyh_7_12 & atrpct_0.2_0.8,2
4712,1818.4,-6460.8,1.755,54.6,retr_0.2_0.5 & leg_A,2
6644,1803.4,-6475.8,1.506,53.0,retr_0.2_0.5 & atrpct_0.2_0.8,2
6678,1788.9,-6490.3,1.504,52.5,nyh_11_15 & impulse_ge_q20,2
4534,1778.7,-6500.5,1.736,53.0,nyh_7_12 & sent_align,2
4656,1740.5,-6538.7,1.693,52.4,nyh_7_12 & pd_bull,2
5268,1734.8,-6544.4,1.572,48.9,dow_4,1
6214,1725.0,-6554.2,1.53,53.2,nyh_11_15 & impulse_ge_q30,2
6224,1700.0,-6579.2,1.508,52.5,retr_0.2_0.5 & pd_bear,2
5264,1699.3,-6579.9,1.535,46.4,nyh_0_7 & atrpct_0.1_0.7,2
4688,1694.0,-6585.1,1.674,52.6,nyh_7_12 & leg_D,2
7453,1688.9,-6590.3,1.382,47.1,atrpct_0.1_0.7 & pd_bull,2
6589,1684.6,-6594.6,1.467,52.1,retr_0.2_0.5 & atrpct_0.1_0.7,2
6307,1673.7,-6605.5,1.488,52.3,retr_0.2_0.5 & pd_bull,2
5638,1653.8,-6625.4,1.567,53.5,nyh_11_15 & impulse_ge_q40,2
4977,1634.8,-6644.4,1.562,48.1,nyh_0_7 & pd_bear,2
4574,1633.2,-6646.0,1.633,50.4,retr_0.4_0.7 & dow_3,2
4820,1623.6,-6655.6,1.585,48.9,nyh_0_7 & sent_align,2
5353,1614.4,-6664.8,1.496,45.9,nyh_0_7 & sent_counter,2
5196,1603.3,-6675.9,1.513,46.6,nyh_0_7 & pd_bull,2
5032,1581.5,-6697.7,1.614,53.9,nyh_11_15 & impulse_ge_q50,2
5645,1574.9,-6704.3,1.491,48.8,dow_1,1
5645,1574.9,-6704.3,1.491,48.8,dow_1 & dow_not_fri,2
4725,1574.5,-6704.7,1.568,48.2,dow_3 & near_key_level,2
4615,1561.6,-6717.6,1.623,52.1,impulse_ge_q20 & dow_3,2
7819,1555.3,-6723.9,1.356,51.1,retr_0.2_0.5 & leg_D,2
4029,1535.4,-6743.8,1.756,55.7,nyh_0_7 & impulse_ge_q50,2
4154,1523.0,-6756.2,1.68,52.7,impulse_ge_q20 & dow_4,2
5315,1522.6,-6756.6,1.495,48.7,dow_0,1
5315,1522.6,-6756.6,1.495,48.7,dow_0 & dow_not_fri,2
3382,1516.5,-6762.7,1.817,51.1,atrpct_0.4_1.0 & dow_4,2
4311,1509.5,-6769.7,1.593,48.0,dow_4 & near_key_level,2
5862,1499.2,-6780.0,1.445,49.2,dow_2,1
5862,1499.2,-6780.0,1.445,49.2,dow_2 & dow_not_fri,2
5837,1489.8,-6789.4,1.471,51.9,nyh_11_15 & retr_0.4_0.7,2
4696,1477.7,-6801.5,1.55,48.4,dow_1 & near_key_level,2
