rule,k,n,net_r,r_per_year,wr,pf,avg_r,max_dd,mar,sharpe_trade,pos_years,years,rank_net
wide_zone+fast_confirm_1,2,101,7.19120445209593,2.89271742965643,0.5544554455445545,1.1585595160296471,0.07120004408015773,-7.057943118839571,0.409852754683582,1.1530564159424082,3,3,79
cost_le_0p03+stack_score3,2,146,5.503963188310035,2.0661074558378627,0.5273972602739726,1.0837654404058759,0.03769837800212353,-13.480674960228368,0.1532643923196307,0.6231583090366077,2,3,80
stack_score3+risk_ge_10,2,146,5.503963188310035,2.0661074558378627,0.5273972602739726,1.0837654404058759,0.03769837800212353,-13.480674960228368,0.1532643923196307,0.6231583090366077,2,3,81
cost_le_0p05+impulse_ge_2,2,140,4.923811344685628,1.9590654614884813,0.5428571428571428,1.0761071045013,0.035170081033468775,-10.839526297211288,0.18073349404507602,0.5724681573322317,3,3,82
cost_le_0p03+ny_main_or_overlap,2,114,4.799859719128374,1.9944809583750156,0.5175438596491229,1.096698354006249,0.042104032623933106,-12.242893233265264,0.16290928299168658,0.7075273765980624,2,3,83
ny_main_or_overlap+risk_ge_10,2,114,4.799859719128374,1.9944809583750156,0.5175438596491229,1.096698354006249,0.042104032623933106,-12.242893233265264,0.16290928299168658,0.7075273765980624,2,3,84
body_ge_45+wide_zone,2,176,4.672663397126637,1.8631990237996772,0.5340909090909091,1.056129285621226,0.02654922384731044,-9.517567284837517,0.19576420823081006,0.42805161993605134,2,3,85
cost_le_0p03+fast_confirm_3,2,141,4.098046016241005,1.5088823663629305,0.524822695035461,1.0641791161378404,0.02906415614355323,-12.408817401775027,0.12159759608897876,0.4806124018232494,2,3,86
fast_confirm_3+risk_ge_10,2,141,4.098046016241005,1.5088823663629305,0.524822695035461,1.0641791161378404,0.02906415614355323,-12.408817401775027,0.12159759608897876,0.4806124018232494,2,3,87
cost_le_0p03+stack_7d30d_score3,2,180,3.8802631476372786,1.4144372401941279,0.5111111111111111,1.0473030709282982,0.02155701748687377,-16.046519859794714,0.08814604366259284,0.357277737347853,2,3,88
stack_7d30d_score3+risk_ge_10,2,180,3.8802631476372786,1.4144372401941279,0.5111111111111111,1.0473030709282982,0.02155701748687377,-16.046519859794714,0.08814604366259284,0.357277737347853,2,3,89
trend_aligned+wide_zone,2,107,3.6373357947919303,1.4615367426267907,0.5327102803738317,1.0732486142772135,0.033993792474690934,-13.45242463262736,0.108644856413616,0.5519892478529481,3,3,90
cost_le_0p03+intraday_stack_24h,2,162,3.285077142907314,1.233170016903285,0.5185185185185185,1.0443127172695963,0.020278253968563666,-18.159052559565374,0.06790938089188504,0.3354553290166537,2,3,91
intraday_stack_24h+risk_ge_10,2,162,3.285077142907314,1.233170016903285,0.5185185185185185,1.0443127172695963,0.020278253968563666,-18.159052559565374,0.06790938089188504,0.3354553290166537,2,3,92
cost_le_0p03+avoid_after_hours,2,156,3.0154784328241426,1.240319254041687,0.5128205128205128,1.042383746237604,0.019329989954000915,-13.462923461115501,0.09212852302280841,0.3204898133282932,2,3,93
avoid_after_hours+risk_ge_10,2,156,3.0154784328241426,1.240319254041687,0.5128205128205128,1.042383746237604,0.019329989954000915,-13.462923461115501,0.09212852302280841,0.3204898133282932,2,3,94
wide_zone+impulse_ge_1p5,2,113,2.380432531624181,0.956493929786284,0.5309734513274337,1.0442040388641904,0.021065774616143194,-12.651466940986873,0.07560340111133966,0.33885781787407354,2,3,95
body_ge_60+wide_zone,2,130,2.117982978958181,0.8643500369435483,0.5307692307692308,1.0340075871413252,0.01629217676121678,-7.983428244731049,0.10826802852696862,0.2622376838661732,2,3,96
ema8_aligned+base_body_high,2,1038,1.7540775874310466,0.6184139370745075,0.5520231213872833,1.0034486532829703,0.001689862800993301,-32.88554781256689,0.018805036808241544,0.027036588996971356,1,3,97
cost_le_0p05+orb_reversal,2,233,-0.060966230453960435,-0.02804523384547739,0.5107296137339056,0.9994678322127786,-0.0002616576414333066,-22.99822243541638,-0.0012194522391560491,-0.00419024340308429,1,3,98
cost_le_0p03+intraday_stack_7d,2,185,-0.6686604447467444,-0.2437407459518447,0.5027027027027027,0.9923035284755677,-0.0036143807824148342,-20.48815940209665,-0.011896663881231886,-0.059774190002705584,2,3,99
intraday_stack_7d+risk_ge_10,2,185,-0.6686604447467444,-0.2437407459518447,0.5027027027027027,0.9923035284755677,-0.0036143807824148342,-20.48815940209665,-0.011896663881231886,-0.059774190002705584,2,3,100
