tf,family,side,sl,tp,n,net,wr,pf,dd,mar,pos_years,trades_per_year,flag
M15,fvg_retest,S,1.0,2.0,8603,-5693.8848556616695,0.2646751133325584,0.3837472186654002,-5694.9352372524545,-0.15000891194469632,0/8,1290.7647398621327,False
M15,fvg_retest,S,1.0,3.0,8603,-5499.127063974533,0.20725328373823085,0.4475390513484007,-5498.177445565325,-0.1500624984838501,0/8,1290.7647398621327,False
M15,fvg_retest,S,2.0,1.5,8603,-3178.878141836238,0.3434848308729513,0.5332688729640116,-3179.013766595512,-0.15003018395642526,0/8,1290.7647398621327,False
M15,fvg_retest,S,2.0,2.0,8603,-3026.887621978208,0.2994304312449146,0.5818501077991539,-3027.977236855915,-0.1499825943664596,0/8,1290.7647398621327,False
M15,fvg_retest,S,2.0,3.0,8603,-2815.0939895992865,0.2530512611879577,0.634336556341804,-2821.8394855964275,-0.14967792835745378,0/8,1290.7647398621327,False
M15,fvg_fade,L,1.0,1.5,14070,-5038.469363349139,0.43049040511727077,0.5633529160704426,-5037.224560094444,-0.15006788288903092,0/8,2110.9334565619224,False
M15,fvg_fade,L,1.0,2.0,14070,-4504.770771473106,0.3770433546552949,0.645197558036959,-4505.40971327877,-0.15000953029100658,0/8,2110.9334565619224,False
M15,fvg_fade,L,1.0,3.0,14070,-3547.0278533918645,0.30646766169154227,0.7496697379671936,-3565.864118018282,-0.14923828676734213,0/8,2110.9334565619224,False
M15,fvg_fade,L,2.0,1.5,14070,-2225.3819973491177,0.4321961620469083,0.7683510681521637,-2243.1995644538015,-0.14883912361785848,0/8,2110.9334565619224,False
M15,fvg_fade,L,2.0,2.0,14070,-1706.2974385027405,0.3845771144278607,0.8354271544041216,-1724.2608307788248,-0.14846778246202744,1/8,2110.9334565619224,False
M15,fvg_fade,L,2.0,3.0,14070,-1022.9771341782059,0.33603411513859277,0.9084612214732528,-1251.3819247577717,-0.12264687710241125,1/8,2110.9334565619224,False
M15,fvg_fade,S,1.0,1.5,14685,-5548.836890595845,0.4226081035069799,0.5452683136985749,-5556.241584568137,-0.14981740231911525,0/8,2203.0044537998488,False
M15,fvg_fade,S,1.0,2.0,14685,-4980.403725040764,0.3690840994211781,0.6285015214253631,-4990.308419013042,-0.14971957518150414,0/8,2203.0044537998488,False
M15,fvg_fade,S,1.0,3.0,14685,-4366.089928956005,0.2926796050391556,0.7092354527924375,-4383.1241702267,-0.14943431150227154,0/8,2203.0044537998488,False
M15,fvg_fade,S,2.0,1.5,14685,-2912.4126212503597,0.41144024514811034,0.7171318058317234,-2927.886128369261,-0.1492245049003886,0/8,2203.0044537998488,False
M15,fvg_fade,S,2.0,2.0,14685,-2498.201986132871,0.3631596867551924,0.7753036218357174,-2548.322892427087,-0.1470667577241111,1/8,2203.0044537998488,False
M15,fvg_fade,S,2.0,3.0,14685,-2100.1450425883877,0.3103847463398025,0.8254202420194833,-2213.36127492813,-0.1423437511731214,3/8,2203.0044537998488,False
M15,ob,L,1.0,1.5,234,-349.9181149905208,0.038461538461538464,0.025013231965860003,-350.9642136526961,-0.1501883257375886,0/8,35.249133268319504,False
