direc,reg,sess,lb,hold,ext,sl,vol,n,tpd,pf30,wr30,netR30,pf65,wr65,pf_is,pf_oos,pf_delay,posY,ROBUST,GOOD
long,any,all,8,24,1.618,0.02,1.5,2076,0.41,1.266,33.2,393.0,1.088,32.7,1.185,1.344,1.357,17/21,0,0
long,any,all,8,24,1.618,0.1,0,10124,1.98,1.183,36.0,1215.0,1.032,35.4,1.129,1.235,1.185,18/21,0,0
long,any,all,8,24,1.618,0.1,1.5,2069,0.4,1.217,35.3,301.0,1.062,34.8,1.143,1.291,1.297,17/21,0,0
long,any,all,8,24,2.618,0.02,0,10162,1.99,1.301,33.1,2161.0,1.123,32.5,1.273,1.328,1.307,19/21,0,0
long,any,all,8,24,2.618,0.02,1.5,2076,0.41,1.349,32.3,523.0,1.163,31.7,1.269,1.426,1.44,18/21,0,0
long,any,all,8,24,2.618,0.1,0,10124,1.98,1.262,35.3,1752.0,1.105,34.7,1.209,1.312,1.263,20/21,0,0
long,any,all,8,24,2.618,0.1,1.5,2069,0.4,1.298,34.4,418.0,1.136,33.8,1.221,1.373,1.379,18/21,0,0
long,any,all,8,24,3.618,0.02,0,10162,1.99,1.337,32.9,2423.0,1.155,32.4,1.307,1.365,1.342,21/21,0,0
long,any,all,8,24,3.618,0.02,1.5,2076,0.41,1.398,32.0,599.0,1.208,31.4,1.323,1.471,1.49,16/21,0,1
long,any,all,8,24,3.618,0.1,0,10124,1.98,1.298,35.1,2003.0,1.138,34.6,1.242,1.352,1.3,20/21,0,0
long,any,all,8,24,3.618,0.1,1.5,2069,0.4,1.346,34.1,487.0,1.18,33.4,1.267,1.422,1.428,17/21,0,0
long,any,ny,3,4,1.618,0.02,0,6745,1.32,1.159,44.4,522.0,0.864,40.3,1.092,1.218,1.256,15/21,0,0
long,any,ny,3,4,1.618,0.02,1.5,1308,0.26,1.307,37.8,261.0,1.045,36.3,1.16,1.451,1.621,17/21,0,0
long,any,ny,3,4,1.618,0.1,0,6744,1.32,1.138,45.9,403.0,0.862,41.7,1.053,1.216,1.204,13/21,0,0
long,any,ny,3,4,1.618,0.1,1.5,1307,0.26,1.218,39.9,171.0,0.992,38.3,1.082,1.351,1.5,13/21,0,0
long,any,ny,3,4,2.618,0.02,0,6745,1.32,1.206,44.3,678.0,0.904,40.2,1.143,1.262,1.307,16/21,0,0
long,any,ny,3,4,2.618,0.02,1.5,1308,0.26,1.395,37.5,337.0,1.121,35.9,1.266,1.52,1.741,17/21,0,1
long,any,ny,3,4,2.618,0.1,0,6744,1.32,1.184,45.8,540.0,0.902,41.6,1.1,1.261,1.253,16/21,0,0
long,any,ny,3,4,2.618,0.1,1.5,1307,0.26,1.3,39.6,237.0,1.064,37.9,1.176,1.419,1.612,15/21,0,0
long,any,ny,3,4,3.618,0.02,0,6745,1.32,1.234,44.3,773.0,0.928,40.2,1.16,1.301,1.34,16/21,0,0
long,any,ny,3,4,3.618,0.02,1.5,1308,0.26,1.448,37.5,382.0,1.167,35.9,1.285,1.605,1.823,17/21,0,1
long,any,ny,3,4,3.618,0.1,0,6744,1.32,1.21,45.8,617.0,0.924,41.6,1.116,1.296,1.284,18/21,0,0
long,any,ny,3,4,3.618,0.1,1.5,1307,0.26,1.349,39.6,275.0,1.106,37.9,1.194,1.498,1.688,16/21,0,0
long,any,ny,3,8,1.618,0.02,0,7983,1.56,1.236,41.4,1069.0,0.97,39.3,1.232,1.239,1.325,17/21,0,0
long,any,ny,3,8,1.618,0.02,1.5,1762,0.34,1.333,36.1,404.0,1.086,34.8,1.192,1.461,1.656,15/21,0,0
long,any,ny,3,8,1.618,0.1,0,7982,1.56,1.208,43.3,850.0,0.964,41.0,1.197,1.216,1.269,17/21,0,0
long,any,ny,3,8,1.618,0.1,1.5,1761,0.34,1.263,38.3,294.0,1.047,36.9,1.151,1.362,1.548,17/21,0,0
long,any,ny,3,8,2.618,0.02,0,7983,1.56,1.286,41.2,1302.0,1.014,39.0,1.279,1.291,1.38,18/21,0,0
long,any,ny,3,8,2.618,0.02,1.5,1762,0.34,1.393,35.5,482.0,1.14,34.2,1.285,1.49,1.721,18/21,0,1
long,any,ny,3,8,2.618,0.1,0,7982,1.56,1.257,43.1,1057.0,1.008,40.7,1.242,1.269,1.322,17/21,0,0
long,any,ny,3,8,2.618,0.1,1.5,1761,0.34,1.316,37.6,359.0,1.096,36.2,1.227,1.395,1.606,16/21,0,0
long,any,ny,3,8,3.618,0.02,0,7983,1.56,1.317,41.1,1447.0,1.041,39.0,1.294,1.337,1.417,18/21,0,0
long,any,ny,3,8,3.618,0.02,1.5,1762,0.34,1.456,35.4,560.0,1.194,34.1,1.313,1.583,1.803,18/21,0,1
long,any,ny,3,8,3.618,0.1,0,7982,1.56,1.286,43.0,1179.0,1.034,40.7,1.256,1.31,1.356,18/21,0,0
long,any,ny,3,8,3.618,0.1,1.5,1761,0.34,1.374,37.6,425.0,1.147,36.1,1.254,1.481,1.682,17/21,0,1
long,any,ny,3,12,1.618,0.02,0,8675,1.7,1.281,39.3,1522.0,1.03,37.8,1.278,1.283,1.343,18/21,0,0
long,any,ny,3,12,1.618,0.02,1.5,2070,0.41,1.442,36.5,639.0,1.186,35.5,1.356,1.516,1.738,17/21,0,1
long,any,ny,3,12,1.618,0.1,0,8673,1.7,1.258,41.8,1270.0,1.029,40.1,1.241,1.271,1.296,17/21,0,0
long,any,ny,3,12,1.618,0.1,1.5,2069,0.4,1.363,38.9,487.0,1.142,37.8,1.293,1.424,1.615,18/21,0,1
long,any,ny,3,12,2.618,0.02,0,8675,1.7,1.361,39.0,1968.0,1.1,37.5,1.346,1.373,1.425,21/21,0,1
long,any,ny,3,12,2.618,0.02,1.5,2070,0.41,1.529,35.8,774.0,1.264,34.8,1.471,1.579,1.84,18/21,0,1
long,any,ny,3,12,2.618,0.1,0,8673,1.7,1.331,41.4,1641.0,1.095,39.7,1.301,1.355,1.372,20/21,0,0
long,any,ny,3,12,2.618,0.1,1.5,2069,0.4,1.441,38.2,600.0,1.213,37.1,1.389,1.486,1.706,18/21,0,1
long,any,ny,3,12,3.618,0.02,0,8675,1.7,1.41,39.0,2240.0,1.143,37.4,1.382,1.432,1.477,21/21,0,1
long,any,ny,3,12,3.618,0.02,1.5,2070,0.41,1.622,35.7,913.0,1.345,34.7,1.545,1.689,1.952,19/21,0,1
long,any,ny,3,12,3.618,0.1,0,8673,1.7,1.376,41.4,1870.0,1.135,39.7,1.337,1.409,1.419,20/21,0,1
long,any,ny,3,12,3.618,0.1,1.5,2069,0.4,1.527,38.1,718.0,1.289,37.0,1.458,1.586,1.809,18/21,0,1
long,any,ny,3,24,1.618,0.02,0,10428,2.04,1.305,31.8,2386.0,1.096,31.5,1.273,1.334,1.335,18/21,0,0
long,any,ny,3,24,1.618,0.02,1.5,2803,0.55,1.405,31.3,858.0,1.187,31.1,1.32,1.483,1.601,20/21,0,1
long,any,ny,3,24,1.618,0.1,0,10422,2.04,1.262,34.2,1922.0,1.08,33.7,1.213,1.308,1.279,17/21,0,0
long,any,ny,3,24,1.618,0.1,1.5,2798,0.55,1.32,33.4,637.0,1.135,33.2,1.254,1.381,1.489,19/21,0,0
long,any,ny,3,24,2.618,0.02,0,10428,2.04,1.388,30.6,3096.0,1.172,30.3,1.342,1.431,1.417,18/21,0,1
long,any,ny,3,24,2.618,0.02,1.5,2803,0.55,1.489,29.9,1059.0,1.264,29.6,1.416,1.556,1.696,18/21,0,1
long,any,ny,3,24,2.618,0.1,0,10422,2.04,1.339,32.8,2530.0,1.15,32.4,1.275,1.397,1.359,18/21,0,0
long,any,ny,3,24,2.618,0.1,1.5,2798,0.55,1.403,32.0,819.0,1.212,31.7,1.345,1.455,1.583,19/21,0,1
long,any,ny,3,24,3.618,0.02,0,10428,2.04,1.45,30.3,3600.0,1.226,30.0,1.378,1.515,1.483,18/21,0,1
long,any,ny,3,24,3.618,0.02,1.5,2803,0.55,1.568,29.5,1236.0,1.334,29.3,1.483,1.645,1.785,19/21,0,1
long,any,ny,3,24,3.618,0.1,0,10422,2.04,1.399,32.5,2995.0,1.205,32.1,1.311,1.48,1.423,18/21,0,1
long,any,ny,3,24,3.618,0.1,1.5,2798,0.55,1.476,31.6,974.0,1.278,31.4,1.403,1.542,1.668,18/21,0,1
long,any,ny,5,4,1.618,0.02,0,4416,0.86,1.232,45.7,434.0,0.951,41.4,1.154,1.302,1.277,12/21,0,0
long,any,ny,5,4,1.618,0.02,1.5,869,0.17,1.436,40.7,219.0,1.184,39.1,1.386,1.478,1.631,16/21,0,1
long,any,ny,5,4,1.618,0.1,0,4410,0.86,1.182,46.6,304.0,0.927,42.3,1.116,1.24,1.219,13/21,0,0
long,any,ny,5,4,1.618,0.1,1.5,868,0.17,1.309,41.8,145.0,1.097,40.2,1.291,1.324,1.451,12/21,0,0
long,any,ny,5,4,2.618,0.02,0,4416,0.86,1.286,45.7,534.0,0.996,41.4,1.214,1.35,1.338,15/21,0,0
long,any,ny,5,4,2.618,0.02,1.5,869,0.17,1.533,40.7,268.0,1.269,39.1,1.523,1.541,1.766,16/21,0,1
