swing_k,ote_fib,sweep_lb,min_conf,require_fvg,sl_buf_atr,tp_mode,session,h4_trend,wait_bars,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
2,0.5,3,3,1,0.25,2R,all,0,48,4058,605.0,1.071,195.5,0.2,0.388,-149.3,5/8,2.0,False
2,0.5,3,3,1,0.25,2R,all,0,96,5101,760.0,1.101,343.9,0.33,0.394,-154.7,5/8,2.0,False
2,0.5,3,3,1,0.25,2R,all,1,48,2253,336.0,1.106,158.1,0.26,0.397,-91.5,6/8,2.0,False
2,0.5,3,3,1,0.25,2R,all,1,96,2840,423.0,1.147,273.6,0.56,0.405,-73.3,6/8,2.0,False
2,0.5,3,3,1,0.25,2R,kz,0,48,2237,334.0,1.147,216.5,0.27,0.405,-118.5,5/8,2.0,False
2,0.5,3,3,1,0.25,2R,kz,0,96,2787,415.0,1.168,304.2,0.37,0.409,-121.0,6/8,2.0,False
2,0.5,3,3,1,0.25,2R,kz,1,48,1281,191.0,1.205,168.6,0.4,0.421,-63.7,5/8,2.0,False
2,0.5,3,3,1,0.25,2R,kz,1,96,1583,236.0,1.223,224.7,0.61,0.423,-55.1,6/8,2.0,False
2,0.5,3,3,1,0.25,3R,all,0,48,4058,605.0,1.163,494.1,0.55,0.32,-134.1,6/8,3.0,False
2,0.5,3,3,1,0.25,3R,all,0,96,5101,760.0,1.199,748.5,1.0,0.328,-111.4,6/8,3.0,False
2,0.5,3,3,1,0.25,3R,all,1,48,2253,336.0,1.175,294.6,0.3,0.323,-146.6,6/8,3.0,False
2,0.5,3,3,1,0.25,3R,all,1,96,2840,423.0,1.223,465.7,0.56,0.332,-123.2,6/8,3.0,False
2,0.5,3,3,1,0.25,3R,kz,0,48,2237,334.0,1.252,413.1,0.5,0.336,-124.2,6/8,3.0,False
2,0.5,3,3,1,0.25,3R,kz,0,96,2787,415.0,1.269,544.6,0.73,0.34,-110.5,6/8,3.0,False
2,0.5,3,3,1,0.25,3R,kz,1,48,1281,191.0,1.284,264.2,0.38,0.343,-105.1,5/8,3.0,False
2,0.5,3,3,1,0.25,3R,kz,1,96,1583,236.0,1.287,327.4,0.5,0.344,-98.3,6/8,3.0,False
2,0.5,3,3,1,0.5,bsl,all,0,48,4087,609.0,0.829,-302.8,-0.13,0.599,-335.2,1/8,0.69,False
2,0.5,3,3,1,0.5,bsl,all,0,96,5136,765.0,0.847,-338.5,-0.13,0.6,-381.7,2/8,0.7,False
2,0.5,3,3,1,0.5,bsl,all,1,48,2270,338.0,0.883,-111.9,-0.11,0.613,-150.4,2/8,0.69,False
2,0.5,3,3,1,0.5,bsl,all,1,96,2860,426.0,0.91,-107.4,-0.11,0.617,-151.0,3/8,0.7,False
2,0.5,3,3,1,0.5,bsl,kz,0,48,2254,336.0,0.858,-136.7,-0.11,0.606,-181.3,1/8,0.7,False
2,0.5,3,3,1,0.5,bsl,kz,0,96,2808,419.0,0.87,-156.1,-0.11,0.605,-211.6,3/8,0.71,False
2,0.5,3,3,1,0.5,bsl,kz,1,48,1292,193.0,0.931,-36.1,-0.08,0.625,-68.9,2/8,0.7,False
2,0.5,3,3,1,0.5,bsl,kz,1,96,1595,238.0,0.958,-27.3,-0.06,0.629,-71.8,4/8,0.71,False
2,0.5,3,3,1,0.5,2R,all,0,48,4087,609.0,1.082,222.9,0.24,0.386,-140.2,5/8,2.0,False
2,0.5,3,3,1,0.5,2R,all,0,96,5136,765.0,1.105,353.9,0.35,0.391,-152.0,5/8,2.0,False
2,0.5,3,3,1,0.5,2R,all,1,48,2270,338.0,1.097,144.5,0.19,0.391,-115.9,5/8,2.0,False
2,0.5,3,3,1,0.5,2R,all,1,96,2860,426.0,1.14,259.8,0.4,0.4,-96.9,6/8,2.0,False
2,0.5,3,3,1,0.5,2R,kz,0,48,2254,336.0,1.165,240.4,0.32,0.405,-111.1,6/8,2.0,False
2,0.5,3,3,1,0.5,2R,kz,0,96,2808,419.0,1.174,313.9,0.4,0.406,-116.8,6/8,2.0,False
2,0.5,3,3,1,0.5,2R,kz,1,48,1292,193.0,1.197,162.4,0.31,0.416,-77.0,5/8,2.0,False
2,0.5,3,3,1,0.5,2R,kz,1,96,1595,238.0,1.209,210.9,0.41,0.417,-76.8,6/8,2.0,False
2,0.5,3,3,1,0.5,3R,all,0,48,4087,609.0,1.191,567.0,0.65,0.325,-129.7,6/8,3.0,False
2,0.5,3,3,1,0.5,3R,all,0,96,5136,765.0,1.211,777.8,0.9,0.331,-128.4,5/8,3.0,False
2,0.5,3,3,1,0.5,3R,all,1,48,2270,338.0,1.183,302.7,0.3,0.326,-152.5,6/8,3.0,False
2,0.5,3,3,1,0.5,3R,all,1,96,2860,426.0,1.211,435.7,0.45,0.332,-142.8,6/8,3.0,False
2,0.5,3,3,1,0.5,3R,kz,0,48,2254,336.0,1.28,449.8,0.58,0.341,-116.4,6/8,3.0,False
2,0.5,3,3,1,0.5,3R,kz,0,96,2808,419.0,1.282,560.1,0.73,0.343,-115.1,6/8,3.0,False
2,0.5,3,3,1,0.5,3R,kz,1,48,1292,193.0,1.27,249.2,0.36,0.344,-103.0,6/8,3.0,False
2,0.5,3,3,1,0.5,3R,kz,1,96,1595,238.0,1.252,286.8,0.38,0.34,-113.3,6/8,3.0,False
2,0.5,3,4,0,0.05,bsl,all,0,48,4847,722.0,0.863,-342.5,-0.12,0.543,-433.8,3/8,0.95,False
2,0.5,3,4,0,0.05,bsl,all,0,96,6036,899.0,0.894,-324.2,-0.11,0.55,-445.9,3/8,0.95,False
2,0.5,3,4,0,0.05,bsl,all,1,48,2620,391.0,0.918,-107.5,-0.09,0.558,-183.9,3/8,0.95,False
2,0.5,3,4,0,0.05,bsl,all,1,96,3295,491.0,0.957,-68.5,-0.06,0.566,-162.9,3/8,0.96,False
2,0.5,3,4,0,0.05,bsl,kz,0,48,2662,397.0,0.88,-163.3,-0.1,0.548,-236.9,2/8,0.95,False
2,0.5,3,4,0,0.05,bsl,kz,0,96,3271,488.0,0.905,-156.1,-0.09,0.553,-245.5,3/8,0.96,False
2,0.5,3,4,0,0.05,bsl,kz,1,48,1479,221.0,0.95,-36.1,-0.06,0.568,-90.5,3/8,0.96,False
2,0.5,3,4,0,0.05,bsl,kz,1,96,1819,271.0,0.988,-10.8,-0.02,0.574,-76.5,4/8,0.96,False
2,0.5,3,4,0,0.05,2R,all,0,48,4847,722.0,1.055,181.8,0.16,0.392,-173.2,4/8,2.0,False
2,0.5,3,4,0,0.05,2R,all,0,96,6036,899.0,1.085,346.8,0.26,0.398,-198.0,5/8,2.0,False
2,0.5,3,4,0,0.05,2R,all,1,48,2620,391.0,1.073,130.0,0.19,0.397,-100.0,6/8,2.0,False
2,0.5,3,4,0,0.05,2R,all,1,96,3295,491.0,1.117,258.6,0.44,0.405,-87.7,6/8,2.0,False
2,0.5,3,4,0,0.05,2R,kz,0,48,2662,397.0,1.121,215.4,0.3,0.408,-106.3,6/8,2.0,False
2,0.5,3,4,0,0.05,2R,kz,0,96,3271,488.0,1.14,304.6,0.4,0.411,-113.7,6/8,2.0,False
