name,iter,net_r,max_dd_r
top10_stretch__fixed_fee_stretch__rolling_strict,243,266.7495582574918,-12.181812925768739
top10_stretch__fixed_fee_stretch__rolling_strict,244,266.7495582574918,-10.614046602279757
top10_stretch__fixed_fee_stretch__rolling_strict,245,266.7495582574918,-8.399286694638619
top10_stretch__fixed_fee_stretch__rolling_strict,246,266.7495582574918,-13.760296440170436
top10_stretch__fixed_fee_stretch__rolling_strict,247,266.7495582574918,-16.671662487147046
top10_stretch__fixed_fee_stretch__rolling_strict,248,266.7495582574918,-15.208883674229615
top10_stretch__fixed_fee_stretch__rolling_strict,249,266.7495582574918,-11.607227325654577
top10_stretch__fixed_fee_stretch__rolling_strict,250,266.7495582574918,-10.042442396931932
top10_stretch__fixed_fee_stretch__rolling_strict,251,266.7495582574918,-8.398272522528998
top10_stretch__fixed_fee_stretch__rolling_strict,252,266.7495582574918,-7.131946043206625
top10_stretch__fixed_fee_stretch__rolling_strict,253,266.7495582574918,-11.501056502967415
top10_stretch__fixed_fee_stretch__rolling_strict,254,266.7495582574918,-11.493147419671708
top10_stretch__fixed_fee_stretch__rolling_strict,255,266.7495582574918,-8.681562543039547
top10_stretch__fixed_fee_stretch__rolling_strict,256,266.7495582574918,-9.58681365907434
top10_stretch__fixed_fee_stretch__rolling_strict,257,266.7495582574918,-9.600869545698684
top10_stretch__fixed_fee_stretch__rolling_strict,258,266.7495582574918,-7.922373044536883
top10_stretch__fixed_fee_stretch__rolling_strict,259,266.7495582574918,-10.97182034433419
top10_stretch__fixed_fee_stretch__rolling_strict,260,266.7495582574918,-11.542283511667819
top10_stretch__fixed_fee_stretch__rolling_strict,261,266.7495582574918,-9.233339859358438
top10_stretch__fixed_fee_stretch__rolling_strict,262,266.7495582574918,-16.584303951879207
top10_stretch__fixed_fee_stretch__rolling_strict,263,266.7495582574918,-8.502952991012464
top10_stretch__fixed_fee_stretch__rolling_strict,264,266.7495582574918,-11.773084115318923
top10_stretch__fixed_fee_stretch__rolling_strict,265,266.7495582574918,-8.85981868692663
top10_stretch__fixed_fee_stretch__rolling_strict,266,266.74955825749174,-12.259458768998684
top10_stretch__fixed_fee_stretch__rolling_strict,267,266.7495582574918,-9.888613228510842
top10_stretch__fixed_fee_stretch__rolling_strict,268,266.74955825749174,-8.094869069192526
top10_stretch__fixed_fee_stretch__rolling_strict,269,266.7495582574918,-12.852967920306327
top10_stretch__fixed_fee_stretch__rolling_strict,270,266.7495582574918,-10.442761862620529
top10_stretch__fixed_fee_stretch__rolling_strict,271,266.7495582574918,-13.060151801930415
top10_stretch__fixed_fee_stretch__rolling_strict,272,266.7495582574918,-14.406653829557687
top10_stretch__fixed_fee_stretch__rolling_strict,273,266.7495582574918,-9.00625615853886
top10_stretch__fixed_fee_stretch__rolling_strict,274,266.7495582574918,-10.569182957805708
top10_stretch__fixed_fee_stretch__rolling_strict,275,266.7495582574918,-18.86720051185489
top10_stretch__fixed_fee_stretch__rolling_strict,276,266.7495582574918,-9.634866227403066
top10_stretch__fixed_fee_stretch__rolling_strict,277,266.7495582574918,-10.3358004622539
top10_stretch__fixed_fee_stretch__rolling_strict,278,266.7495582574918,-11.794138034713043
top10_stretch__fixed_fee_stretch__rolling_strict,279,266.7495582574918,-14.651192464813107
top10_stretch__fixed_fee_stretch__rolling_strict,280,266.7495582574918,-10.69808670540625
top10_stretch__fixed_fee_stretch__rolling_strict,281,266.7495582574918,-10.342947149136847
top10_stretch__fixed_fee_stretch__rolling_strict,282,266.7495582574918,-10.551390875085076
top10_stretch__fixed_fee_stretch__rolling_strict,283,266.7495582574918,-11.491094626738573
top10_stretch__fixed_fee_stretch__rolling_strict,284,266.7495582574918,-7.527650703440003
top10_stretch__fixed_fee_stretch__rolling_strict,285,266.7495582574918,-13.12032625319885
top10_stretch__fixed_fee_stretch__rolling_strict,286,266.7495582574918,-12.743396414748403
top10_stretch__fixed_fee_stretch__rolling_strict,287,266.7495582574918,-6.48664332250663
top10_stretch__fixed_fee_stretch__rolling_strict,288,266.7495582574918,-7.862492163086614
top10_stretch__fixed_fee_stretch__rolling_strict,289,266.7495582574918,-15.531790030495301
top10_stretch__fixed_fee_stretch__rolling_strict,290,266.7495582574918,-7.3308634735943485
top10_stretch__fixed_fee_stretch__rolling_strict,291,266.7495582574918,-9.188210896780546
top10_stretch__fixed_fee_stretch__rolling_strict,292,266.7495582574918,-11.683185347012738
top10_stretch__fixed_fee_stretch__rolling_strict,293,266.7495582574918,-10.451783067465016
top10_stretch__fixed_fee_stretch__rolling_strict,294,266.7495582574918,-12.010825740839124
top10_stretch__fixed_fee_stretch__rolling_strict,295,266.7495582574918,-9.253616899468085
top10_stretch__fixed_fee_stretch__rolling_strict,296,266.7495582574918,-9.34944388250048
top10_stretch__fixed_fee_stretch__rolling_strict,297,266.7495582574918,-10.060476215629109
top10_stretch__fixed_fee_stretch__rolling_strict,298,266.7495582574918,-10.836199773169383
