risk_pct,entry_timestamp,year,month,direction,entry_price,stop_price,risk_units,net_r,equity_before,risk_usd,lot,pnl_usd,equity_after
0.04,2023-07-14 17:05:00+00:00,2023,2023-07,supply,1953.54,1963.161142857143,9.621142857143012,0.1049771336936435,5000.0,200.0,0.2078755122646519,20.9954267387287,5020.995426738728
0.04,2023-07-25 16:05:00+00:00,2023,2023-07,supply,1957.25,1963.853,6.6030000000000655,-1.0454338936846883,5020.995426738728,200.83981706954913,0.30416449654633826,-209.96475196593926,4811.030674772789
0.04,2023-07-25 17:15:00+00:00,2023,2023-07,demand,1959.79,1952.7134285714287,7.076571428571242,0.9576065891472856,4811.030674772789,192.44122699091156,0.2719413333608722,184.28298699008536,4995.313661762874
0.04,2023-10-25 20:10:00+00:00,2023,2023-10,demand,1979.6,1962.7177142857145,16.882285714285672,0.3151232060655372,5000.0,200.0,0.11846737070132714,63.02464121310744,5063.024641213107
0.04,2023-10-27 15:55:00+00:00,2023,2023-10,supply,1978.91,1986.5674285714288,7.657428571428682,-1.0391776426252746,5063.024641213107,202.5209856485243,0.2644764933285418,-210.45528044838053,4852.569360764727
0.04,2023-10-30 16:05:00+00:00,2023,2023-10,demand,2000.75,1994.5775714285712,6.172428571428554,-1.0486032355868264,4852.569360764727,194.10277443058908,0.31446742912355113,-203.53679730429562,4649.032563460431
0.04,2023-11-03 15:40:00+00:00,2023,2023-11,demand,1996.46,1986.0945714285715,10.365428571428538,-1.0289423633506989,5000.0,200.0,0.19294908900465896,-205.78847267013978,4794.2115273298605
0.04,2023-11-21 16:30:00+00:00,2023,2023-11,demand,2001.42,1993.4027142857144,8.017285714285663,-1.0374191479125463,4794.2115273298605,191.76846109319442,0.23919374702025437,-198.94427350380204,4595.267253826059
0.04,2023-11-30 17:10:00+00:00,2023,2023-11,supply,2032.63,2038.8545714285713,6.224571428571153,-1.0481960892316189,4595.267253826059,183.81069015304234,0.2952985474780486,-192.66964657738382,4402.597607248675
0.04,2023-12-21 16:50:00+00:00,2023,2023-12,demand,2045.92,2036.5012857142856,9.41871428571426,0.9681485189061292,5000.0,200.0,0.212343207292473,193.62970378122583,5193.6297037812255
0.04,2023-12-26 16:40:00+00:00,2023,2023-12,supply,2056.65,2064.2022857142856,7.552285714285517,-1.0397230734309395,5193.6297037812255,207.74518815124904,0.2750759121285479,-215.99746551510546,4977.63223826612
0.04,2024-03-08 15:35:00+00:00,2024,2024-03,demand,2178.25,2158.436285714286,19.813714285714013,0.2119743900328805,5000.0,200.0,0.10094018572994314,42.3948780065761,5042.394878006576
0.04,2024-03-08 15:35:00+00:00,2024,2024-03,demand,2178.25,2156.146285714286,22.103714285713977,0.1900133138580484,5042.394878006576,201.69579512026303,0.09124972957627425,38.32488642203516,5080.719764428611
0.04,2024-03-08 16:45:00+00:00,2024,2024-03,demand,2169.85,2163.618142857142,6.2318571428572795,0.9518602572037698,5080.719764428611,203.22879057714442,0.32611272357242277,193.44540886997174,5274.165173298583
0.04,2024-03-12 14:55:00+00:00,2024,2024-03,supply,2172.57,2181.7434285714285,9.173428571428303,0.967296851153953,5274.165173298583,210.96660693194332,0.22997574493469436,204.0673345839025,5478.232507882485
0.04,2024-04-15 12:25:00+00:00,2024,2024-04,supply,2348.72,2356.575285714286,7.85528571428631,-1.038190845108841,5000.0,200.0,0.25460563405894004,-207.63816902176822,4792.361830978231
0.04,2024-04-23 14:05:00+00:00,2024,2024-04,supply,2301.54,2310.1362857142853,8.596285714285386,-1.0348987934988547,4792.361830978231,191.69447323912925,0.22299686121480305,-198.38437907557335,4593.977451902658
0.04,2024-04-26 19:25:00+00:00,2024,2024-04,supply,2336.25,2345.715142857143,9.465142857142837,0.9683047573049988,4593.977451902658,183.7590980761063,0.19414297369789105,177.9348088651696,4771.912260767827
0.04,2024-04-30 18:35:00+00:00,2024,2024-04,supply,2297.55,2307.5785714285716,10.028571428571468,0.9700854700854702,4771.912260767827,190.8764904307131,0.1903326827656676,185.16650994774307,4957.0787707155705
0.04,2024-05-03 17:15:00+00:00,2024,2024-05,supply,2290.02,2310.4174285714284,20.397428571428463,-1.0147077362692778,5000.0,200.0,0.09805157512851811,-202.94154725385556,4797.058452746144
0.04,2024-05-09 16:35:00+00:00,2024,2024-05,demand,2319.64,2310.0327142857145,9.607285714285354,0.9687736985323626,4797.058452746144,191.88233810984576,0.19972585787110536,185.89056237371258,4982.949015119857
0.04,2024-05-13 17:10:00+00:00,2024,2024-05,supply,2342.33,2349.973142857142,7.64314285714272,0.9607491308736116,4982.949015119857,199.31796060479428,0.2607801062079147,191.49455741855687,5174.443572538414
