trades,net,wr,pf,dd,years_pos,years,months_pos,months,mar,rule
877,54.25466006928532,56.10034207525656,1.134933568534992,-19.082006493032935,4,8,45,85,0.3554045802854533,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + body_ge_45
608,36.14673199563687,55.92105263157895,1.1290606444944584,-15.093592073012967,4,8,41,85,0.2993549499415259,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + body_ge_60
424,26.191160468223522,55.89622641509434,1.1345696255330013,-13.212194528912253,4,8,40,84,0.2477934344187617,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + body_ge_70
562,30.924128296323453,56.761565836298935,1.1190830766026922,-21.191510787663255,5,8,47,85,0.1824087048711393,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + tight_zone
437,24.036417885382832,55.37757437070938,1.1190682123676725,-15.368469222547901,5,8,42,85,0.1955010738001619,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + impulse_ge_1p5
131,27.21473735193228,63.358778625954194,1.5500790112915197,-6.423823477645374,7,8,35,64,0.5295665705681044,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + impulse_ge_2
425,53.55957001667102,59.76470588235294,1.2953523193143206,-17.313935100732003,5,8,50,85,0.3866796434856006,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + base_body_low
530,15.979501017282383,54.52830188679245,1.0630508859370613,-12.767714566518254,5,8,44,85,0.15644441428839034,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + base_body_high
801,56.65693797223911,56.55430711610487,1.1557254833437753,-26.872466595105802,4,8,49,85,0.2635454851703019,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + dir_demand
703,43.00840571688423,56.33001422475107,1.1328018414424292,-19.716353901525796,5,8,43,85,0.2726696194165236,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_1 + dir_supply
1971,130.57754152369577,56.519533231862,1.1445915894676486,-30.66749669648048,4,8,51,85,0.5322310083540391,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + fast_confirm_3
1268,78.53654279234985,56.23028391167192,1.1346953816436587,-17.793038160245295,6,8,46,85,0.5517364578567504,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + body_ge_45
913,42.861758143122536,55.42168674698795,1.1002002838492764,-16.004730411934887,4,8,43,85,0.334758513888807,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + body_ge_60
648,29.15998003591108,55.24691358024691,1.095777377082677,-10.01237114754608,5,8,40,84,0.36404937958999184,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + body_ge_70
815,37.689184512507616,56.31901840490797,1.0987300971461835,-22.329701371168767,4,8,48,85,0.2109812391018494,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + tight_zone
115,23.00727403424675,60.86956521739131,1.514838464537777,-3.5247054019085327,7,8,36,69,0.8159289717443099,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + wide_zone
598,41.75871605125718,56.35451505016722,1.1537105277708894,-13.624771230464628,6,8,48,85,0.38311391935416317,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + impulse_ge_1p5
194,33.64886211291817,61.855670103092784,1.438997653919854,-7.351844678698104,7,8,41,75,0.5721159719684946,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + impulse_ge_2
596,71.85486715365758,59.56375838926174,1.2803337983149494,-19.112814184166087,6,8,52,85,0.4699390842008066,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + base_body_low
660,25.665568029173947,55.00000000000001,1.0820435274033606,-13.041871140277953,4,8,47,85,0.24599200292193418,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + base_body_high
1047,78.02073808123146,56.82903533906399,1.1643249944004903,-31.15424880359067,5,8,45,85,0.31304212538194476,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + dir_demand
924,52.55680344246433,56.16883116883117,1.122715104840034,-26.330137505186922,5,8,50,85,0.2495087778791075,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_2 + dir_supply
1577,94.85030925589166,56.055802155992396,1.1307559943312817,-25.971406643854735,6,8,48,85,0.45651315000267234,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + body_ge_45
1154,55.542227762221735,55.37261698440208,1.1031823841994133,-18.140715770843126,5,8,47,85,0.3827180006555517,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + body_ge_60
847,40.947836322509744,55.25383707201888,1.1037940165434086,-14.235426954985158,5,8,44,84,0.35955925709142555,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + body_ge_70
1006,39.71232391078314,55.96421471172962,1.083479936010603,-23.53691682006228,4,8,50,85,0.2109044496693241,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + tight_zone
144,24.893087341074498,58.333333333333336,1.4473343757566022,-5.315964143387394,7,8,37,73,0.5853380184110012,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + wide_zone
741,34.13688611504039,54.92577597840756,1.0988023576460595,-18.530425584530455,5,8,44,85,0.2302759181063986,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + impulse_ge_1p5
245,34.55693533185837,59.591836734693885,1.3444765227251574,-8.797722807149208,6,8,39,79,0.4909926137900239,closed_m15_ema8_aligned + intraday_stack_24h + ny_main_or_overlap + fast_confirm_3 + impulse_ge_2
