month,trades,net_r,r_per_year,wr_pct,pf,avg_r,max_dd_r,mar,ulcer_r,max_loss_streak,worst_loss_streak_r,max_win_streak,positive_years,total_years,positive_months,total_months
2025-06,10,1.6195642186807797,24.647742953048116,60.0,1.3926929809486035,0.16195642186807796,-2.0730520365371854,11.889592021153298,1.143228160469588,2,-2.0730520365371854,3,1,1,1,1
2025-07,6,-0.3092100938974671,-5.133590308911358,50.0,0.9009558457276131,-0.05153501564957785,-2.156396357999049,-2.3806339172613376,1.4661234135165495,2,-2.07190972358758,2,0,1,0,1
2025-08,10,1.5541776023639948,28.383168463172456,60.0,1.3739524198223922,0.15541776023639947,-1.2810061408169413,22.15693395901408,0.7526912105401788,1,-1.060489097560272,3,1,1,1,1
2025-09,10,9.652458096820396,125.91286856655893,100.0,inf,0.9652458096820397,0.945379353395585,inf,0.0,0,0.0,10,1,1,1,1
2025-10,15,2.6987305359079388,33.99004580139223,60.0,1.4418930854817114,0.17991536906052924,-2.08008140028199,16.340728683398787,1.224483394489788,2,-2.0441874948438623,7,1,1,1,1
2025-11,11,2.6779367098321414,42.52679927244303,63.63636363636363,1.6509631852351474,0.24344879180292195,-1.0649752650204143,39.93219436099095,0.6294332192008396,1,-1.0411143959120548,2,1,1,1,1
2025-12,9,0.7552671303308358,11.494221639722408,55.55555555555556,1.183337822913772,0.08391857003675954,-3.142910298055596,3.657190485784295,1.9789714982623936,3,-3.08051688375722,2,1,1,1,1
2026-01,6,1.87313748587402,25.339387656129105,66.66666666666666,1.9031500961895098,0.31218958097900334,-1.0963372206748727,23.112767840291813,0.6165339631431311,1,-1.04276811535172,3,1,1,1,1
2026-02,8,-0.08124355370377345,-1.2364253329293022,50.0,0.9799299237846993,-0.010155444212971682,-2.0675432005034597,-0.5980166860011559,1.037736144289814,2,-2.0277651701860626,1,0,1,0,1
2026-03,12,-0.1345797848858401,-2.2343302922524138,50.0,0.9777967757101342,-0.01121498207382001,-1.125719810453195,-1.9848014323856589,0.7543513307060932,1,-1.0153439230757983,1,0,1,0,1
2026-04,12,3.756712040851061,47.315140445546554,66.66666666666666,1.9190327908184097,0.3130593367375884,-3.077759595420793,15.373241144611752,1.3372524627690112,3,-3.0777595954207935,4,1,1,1,1
2026-05,7,-1.1415265932060512,-19.854408960405248,42.857142857142854,0.7201263119699463,-0.16307522760086446,-3.09723248427087,-6.410370891185859,1.8793355724054954,2,-2.043474296387471,1,0,1,0,1
2026-06,6,1.8977955537799958,46.2113217345429,66.66666666666666,1.9352834793057185,0.3162992589633326,-1.0162720059509058,45.47141066953219,0.5859109063925513,1,-1.0162720059509058,4,1,1,1,1
