rule,k,entry_off,sl_buf,tp_r,session,ctx,n,per_yr,pf,mar,wr,pos_years,gate_pass
15min,3,0.0,0.05,1.5,all,off,831,124,0.085,-0.15,0.226,1/8,False
15min,3,0.0,0.05,1.5,all,down,322,48,0.088,-0.15,0.214,1/8,False
15min,3,0.0,0.05,1.5,kz,up,298,45,0.105,-0.15,0.252,1/8,False
15min,3,0.0,0.05,1.5,kz,off,482,72,0.102,-0.15,0.243,1/8,False
15min,3,0.0,0.05,1.5,kz,down,184,28,0.097,-0.15,0.228,2/8,False
15min,3,0.0,0.05,2.0,all,up,509,77,0.214,-0.15,0.387,1/8,False
15min,3,0.0,0.05,2.0,all,off,831,124,0.223,-0.14,0.39,1/8,False
15min,3,0.0,0.05,2.0,all,down,322,48,0.239,-0.14,0.394,1/8,False
15min,3,0.0,0.05,2.0,kz,up,298,45,0.263,-0.14,0.426,1/8,False
15min,3,0.0,0.05,2.0,kz,off,482,72,0.264,-0.14,0.429,1/8,False
15min,3,0.0,0.05,2.0,kz,down,184,28,0.266,-0.14,0.435,2/8,False
15min,3,0.0,0.05,3.0,all,up,509,77,0.528,-0.14,0.501,1/8,False
15min,3,0.0,0.05,3.0,all,off,831,124,0.58,-0.13,0.521,1/8,False
15min,3,0.0,0.05,3.0,all,down,322,48,0.672,-0.11,0.553,3/8,False
15min,3,0.0,0.05,3.0,kz,up,298,45,0.628,-0.12,0.537,1/8,False
15min,3,0.0,0.05,3.0,kz,off,482,72,0.682,-0.12,0.558,1/8,False
15min,3,0.0,0.05,3.0,kz,down,184,28,0.78,-0.09,0.592,3/8,False
15min,3,0.0,0.1,1.0,all,up,595,90,0.172,-0.15,0.392,1/8,False
15min,3,0.0,0.1,1.0,all,off,957,143,0.168,-0.15,0.386,1/8,False
15min,3,0.0,0.1,1.0,all,down,362,54,0.16,-0.15,0.376,1/8,False
15min,3,0.0,0.1,1.0,kz,up,334,50,0.21,-0.15,0.428,1/8,False
15min,3,0.0,0.1,1.0,kz,off,537,80,0.204,-0.15,0.428,1/8,False
15min,3,0.0,0.1,1.0,kz,down,203,30,0.194,-0.15,0.429,2/8,False
15min,3,0.0,0.1,1.5,all,up,595,90,0.427,-0.14,0.513,1/8,False
15min,3,0.0,0.1,1.5,all,off,957,143,0.432,-0.14,0.517,1/8,False
15min,3,0.0,0.1,1.5,all,down,362,54,0.44,-0.14,0.525,1/8,False
15min,3,0.0,0.1,1.5,kz,up,334,50,0.503,-0.14,0.548,1/8,False
15min,3,0.0,0.1,1.5,kz,off,537,80,0.525,-0.14,0.561,1/8,False
15min,3,0.0,0.1,1.5,kz,down,203,30,0.564,-0.13,0.581,2/8,False
15min,3,0.0,0.1,2.0,all,up,595,90,0.645,-0.14,0.521,1/8,False
15min,3,0.0,0.1,2.0,all,off,957,143,0.667,-0.13,0.532,1/8,False
15min,3,0.0,0.1,2.0,all,down,362,54,0.704,-0.12,0.55,1/8,False
15min,3,0.0,0.1,2.0,kz,up,334,50,0.835,-0.08,0.572,3/8,False
15min,3,0.0,0.1,2.0,kz,off,537,80,0.871,-0.07,0.581,3/8,False
15min,3,0.0,0.1,2.0,kz,down,203,30,0.932,-0.04,0.596,4/8,False
15min,3,0.0,0.1,3.0,all,up,595,90,0.914,-0.06,0.477,3/8,False
15min,3,0.0,0.1,3.0,all,off,957,143,0.953,-0.04,0.487,3/8,False
15min,3,0.0,0.1,3.0,all,down,362,54,1.019,0.02,0.503,4/8,False
15min,3,0.0,0.1,3.0,kz,up,334,50,1.091,0.07,0.509,5/8,False
15min,3,0.0,0.1,3.0,kz,off,537,80,1.182,0.28,0.531,7/8,False
15min,3,0.0,0.1,3.0,kz,down,203,30,1.346,0.41,0.567,7/8,False
15min,3,0.0,0.25,1.0,all,up,716,108,0.485,-0.15,0.521,0/8,False
15min,3,0.0,0.25,1.0,all,off,1154,172,0.503,-0.15,0.53,0/8,False
15min,3,0.0,0.25,1.0,all,down,438,66,0.534,-0.14,0.546,1/8,False
15min,3,0.0,0.25,1.0,kz,up,403,61,0.604,-0.14,0.558,2/8,False
15min,3,0.0,0.25,1.0,kz,off,650,97,0.632,-0.14,0.571,1/8,False
15min,3,0.0,0.25,1.0,kz,down,247,37,0.681,-0.12,0.591,3/8,False
15min,3,0.0,0.25,1.5,all,up,716,108,0.657,-0.14,0.459,1/8,False
15min,3,0.0,0.25,1.5,all,off,1154,172,0.691,-0.14,0.473,1/8,False
15min,3,0.0,0.25,1.5,all,down,438,66,0.75,-0.13,0.495,3/8,False
15min,3,0.0,0.25,1.5,kz,up,403,61,0.786,-0.12,0.499,2/8,False
15min,3,0.0,0.25,1.5,kz,off,650,97,0.841,-0.11,0.517,2/8,False
15min,3,0.0,0.25,1.5,kz,down,247,37,0.94,-0.05,0.547,4/8,False
15min,3,0.0,0.25,2.0,all,up,716,108,0.738,-0.13,0.398,1/8,False
15min,3,0.0,0.25,2.0,all,off,1154,172,0.79,-0.13,0.414,1/8,False
15min,3,0.0,0.25,2.0,all,down,438,66,0.88,-0.1,0.441,4/8,False
15min,3,0.0,0.25,2.0,kz,up,403,61,0.892,-0.08,0.437,3/8,False
15min,3,0.0,0.25,2.0,kz,off,650,97,0.982,-0.02,0.462,5/8,False
15min,3,0.0,0.25,2.0,kz,down,247,37,1.144,0.19,0.502,4/8,False
15min,3,0.0,0.25,3.0,all,up,716,108,0.855,-0.1,0.32,2/8,False
15min,3,0.0,0.25,3.0,all,off,1154,172,0.922,-0.08,0.336,2/8,False
15min,3,0.0,0.25,3.0,all,down,438,66,1.037,0.06,0.363,3/8,False
15min,3,0.0,0.25,3.0,kz,up,403,61,1.059,0.09,0.362,6/8,False
15min,3,0.0,0.25,3.0,kz,off,650,97,1.154,0.38,0.383,7/8,False
15min,3,0.0,0.25,3.0,kz,down,247,37,1.321,0.44,0.417,6/8,False
15min,3,0.1,0.05,1.0,all,up,722,109,0.359,-0.15,0.524,0/8,False
15min,3,0.1,0.05,1.0,all,off,1148,172,0.356,-0.15,0.524,0/8,False
15min,3,0.1,0.05,1.0,all,down,426,64,0.351,-0.15,0.523,0/8,False
15min,3,0.1,0.05,1.0,kz,up,393,59,0.428,-0.15,0.562,1/8,False
15min,3,0.1,0.05,1.0,kz,off,630,94,0.427,-0.15,0.565,1/8,False
15min,3,0.1,0.05,1.0,kz,down,237,36,0.425,-0.14,0.57,1/8,False
15min,3,0.1,0.05,1.5,all,up,722,109,0.613,-0.15,0.532,1/8,False
15min,3,0.1,0.05,1.5,all,off,1148,172,0.614,-0.15,0.531,1/8,False
15min,3,0.1,0.05,1.5,all,down,426,64,0.614,-0.14,0.531,0/8,False
15min,3,0.1,0.05,1.5,kz,up,393,59,0.664,-0.14,0.534,1/8,False
15min,3,0.1,0.05,1.5,kz,off,630,94,0.69,-0.13,0.548,1/8,False
15min,3,0.1,0.05,1.5,kz,down,237,36,0.736,-0.12,0.57,2/8,False
15min,3,0.1,0.05,2.0,all,up,722,109,0.71,-0.14,0.465,1/8,False
15min,3,0.1,0.05,2.0,all,off,1148,172,0.748,-0.14,0.478,1/8,False
15min,3,0.1,0.05,2.0,all,down,426,64,0.815,-0.12,0.5,2/8,False
15min,3,0.1,0.05,2.0,kz,up,393,59,0.824,-0.1,0.491,4/8,False
15min,3,0.1,0.05,2.0,kz,off,630,94,0.87,-0.1,0.51,3/8,False
15min,3,0.1,0.05,2.0,kz,down,237,36,0.953,-0.04,0.54,5/8,False
15min,3,0.1,0.05,3.0,all,up,722,109,0.938,-0.08,0.4,4/8,False
