rule,k,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
1h,3,0.5,3R,0,"(1, -1)",258,38,1.227,41.3,0.47,0.345,-13.0,8/8,2.86,False
1h,3,0.5,3R,1,"(1,)",71,11,1.761,32.7,0.43,0.423,-11.7,7/8,2.89,False
1h,3,0.5,3R,1,"(-1,)",42,6,1.292,8.5,0.17,0.357,-7.5,5/8,2.88,False
1h,3,0.5,3R,1,"(1, -1)",113,17,1.572,41.2,0.59,0.398,-10.5,6/8,2.89,False
1h,3,1.0,2R,0,"(1,)",134,20,1.289,20.6,0.36,0.463,-8.6,7/8,1.95,False
1h,3,1.0,2R,0,"(-1,)",138,21,0.858,-12.1,-0.1,0.384,-17.8,4/8,1.95,False
1h,3,1.0,2R,0,"(1, -1)",272,41,1.054,8.4,0.11,0.423,-11.8,4/8,1.95,False
1h,3,1.0,2R,1,"(1,)",74,11,1.678,23.4,0.49,0.514,-7.3,7/8,1.96,False
1h,3,1.0,2R,1,"(-1,)",43,7,1.487,10.2,0.39,0.488,-4.0,6/8,1.95,False
1h,3,1.0,2R,1,"(1, -1)",117,18,1.606,33.6,0.96,0.504,-5.2,7/8,1.96,False
1h,3,1.0,3R,0,"(1,)",134,20,1.438,31.1,0.56,0.455,-8.3,7/8,2.93,False
1h,3,1.0,3R,0,"(-1,)",138,21,0.865,-11.9,-0.09,0.362,-19.8,3/8,2.93,False
1h,3,1.0,3R,0,"(1, -1)",272,41,1.12,19.2,0.21,0.408,-13.3,6/8,2.93,False
1h,3,1.0,3R,1,"(1,)",74,11,1.886,30.7,0.64,0.5,-7.3,8/8,2.95,False
1h,3,1.0,3R,1,"(-1,)",43,7,1.328,7.6,0.14,0.442,-8.3,5/8,2.94,False
1h,3,1.0,3R,1,"(1, -1)",117,18,1.663,38.3,0.67,0.479,-8.6,7/8,2.94,False
