rule,k,tp_mode,sl_buf,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,4,2R,0.5,1,"(-1,)",4132,615,0.456,-2035.1,-0.14,0.392,-2092.7,1/8,1.32,False
15min,4,2R,0.5,1,"(1, -1)",10664,1588,0.475,-4983.4,-0.14,0.394,-5144.5,1/8,1.32,False
15min,4,3R,0.05,0,"(1,)",10275,1530,0.567,-4407.9,-0.14,0.375,-4693.1,1/8,1.86,False
15min,4,3R,0.05,0,"(-1,)",9296,1385,0.5,-4879.5,-0.15,0.354,-4999.8,1/8,1.85,False
15min,4,3R,0.05,0,"(1, -1)",19571,2915,0.534,-9287.4,-0.14,0.365,-9673.9,1/8,1.86,False
15min,4,3R,0.05,1,"(1,)",6143,915,0.572,-2621.5,-0.14,0.375,-2836.8,1/8,1.86,False
15min,4,3R,0.05,1,"(-1,)",3893,580,0.534,-1860.5,-0.14,0.37,-1977.0,2/8,1.85,False
15min,4,3R,0.05,1,"(1, -1)",10036,1495,0.557,-4482.0,-0.14,0.373,-4805.2,1/8,1.86,False
15min,4,3R,0.1,0,"(1,)",10354,1542,0.581,-4262.2,-0.14,0.376,-4545.0,1/8,1.89,False
15min,4,3R,0.1,0,"(-1,)",9365,1395,0.52,-4659.0,-0.14,0.358,-4801.0,1/8,1.88,False
15min,4,3R,0.1,0,"(1, -1)",19719,2937,0.551,-8921.2,-0.14,0.367,-9327.3,1/8,1.89,False
15min,4,3R,0.1,1,"(1,)",6193,923,0.587,-2528.1,-0.14,0.376,-2748.0,1/8,1.89,False
15min,4,3R,0.1,1,"(-1,)",3923,584,0.556,-1763.7,-0.14,0.374,-1885.0,2/8,1.88,False
15min,4,3R,0.1,1,"(1, -1)",10116,1507,0.575,-4291.8,-0.14,0.375,-4625.9,1/8,1.88,False
15min,4,3R,0.25,0,"(1,)",10598,1579,0.621,-3848.0,-0.14,0.375,-4132.8,1/8,1.97,False
15min,4,3R,0.25,0,"(-1,)",9563,1424,0.557,-4279.0,-0.14,0.359,-4433.8,1/8,1.96,False
15min,4,3R,0.25,0,"(1, -1)",20161,3003,0.59,-8127.0,-0.14,0.367,-8548.5,1/8,1.96,False
15min,4,3R,0.25,1,"(1,)",6342,945,0.628,-2273.9,-0.14,0.375,-2489.3,1/8,1.97,False
