rule,k,fib,sl_buf,tp_mode,ema_confirm,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,0.618,0.1,2R,0,"(1,)",8534,1271,0.834,-1033.3,-0.14,0.353,-1077.8,1/8,1.86,False
15min,3,0.618,0.1,2R,0,"(-1,)",8701,1296,0.731,-1774.0,-0.15,0.325,-1780.8,0/8,1.86,False
15min,3,0.618,0.1,2R,0,"(1, -1)",17235,2567,0.781,-2807.3,-0.15,0.339,-2815.4,0/8,1.86,False
15min,3,0.618,0.1,2R,1,"(1,)",4665,695,0.832,-572.6,-0.14,0.353,-617.7,1/8,1.86,False
15min,3,0.618,0.1,2R,1,"(-1,)",3910,582,0.711,-861.2,-0.15,0.318,-868.0,0/8,1.86,False
15min,3,0.618,0.1,2R,1,"(1, -1)",8575,1277,0.775,-1433.8,-0.15,0.337,-1456.6,0/8,1.86,False
15min,3,0.618,0.1,3R,0,"(1,)",8534,1271,0.909,-624.8,-0.11,0.283,-845.5,3/8,2.82,False
15min,3,0.618,0.1,3R,0,"(-1,)",8701,1296,0.782,-1587.6,-0.15,0.256,-1606.7,0/8,2.82,False
15min,3,0.618,0.1,3R,0,"(1, -1)",17235,2567,0.844,-2212.5,-0.15,0.27,-2229.4,0/8,2.82,False
15min,3,0.618,0.1,3R,1,"(1,)",4665,695,0.916,-315.8,-0.1,0.286,-490.1,2/8,2.82,False
15min,3,0.618,0.1,3R,1,"(-1,)",3910,582,0.782,-708.0,-0.15,0.256,-718.9,0/8,2.82,False
15min,3,0.618,0.1,3R,1,"(1, -1)",8575,1277,0.854,-1023.8,-0.14,0.272,-1105.3,1/8,2.82,False
15min,3,0.618,0.25,2R,0,"(1,)",8752,1304,0.844,-988.5,-0.14,0.35,-1034.1,1/8,1.88,False
15min,3,0.618,0.25,2R,0,"(-1,)",8908,1327,0.734,-1779.5,-0.15,0.321,-1805.1,0/8,1.88,False
15min,3,0.618,0.25,2R,0,"(1, -1)",17660,2630,0.787,-2768.1,-0.15,0.335,-2784.0,0/8,1.88,False
15min,3,0.618,0.25,2R,1,"(1,)",4793,714,0.851,-514.8,-0.13,0.353,-571.7,1/8,1.88,False
15min,3,0.618,0.25,2R,1,"(-1,)",3999,596,0.726,-822.5,-0.15,0.318,-843.6,0/8,1.88,False
