rule,k,ote,sl_buf,tp_mode,sweep_lb,need_conf,use_idm,h4_trend,session,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,2,0.5,0.05,2R,10,4,0,0,kz,"(-1,)",4417,658,0.835,-531.1,-0.14,0.376,-562.8,0/8,1.81,False
15min,2,0.5,0.05,2R,10,4,0,0,kz,"(1, -1)",8517,1269,0.871,-794.1,-0.14,0.384,-864.8,2/8,1.81,False
15min,2,0.5,0.05,2R,10,4,0,1,all,"(1,)",4155,620,0.949,-148.8,-0.06,0.403,-343.2,2/8,1.82,False
15min,2,0.5,0.05,2R,10,4,0,1,all,"(-1,)",3143,470,0.803,-461.1,-0.14,0.365,-476.6,1/8,1.82,False
15min,2,0.5,0.05,2R,10,4,0,1,all,"(1, -1)",7298,1088,0.884,-609.8,-0.11,0.387,-791.3,2/8,1.82,False
15min,2,0.5,0.05,2R,10,4,0,1,kz,"(1,)",2202,329,0.946,-83.3,-0.06,0.402,-205.2,2/8,1.82,False
15min,2,0.5,0.05,2R,10,4,0,1,kz,"(-1,)",1611,241,0.862,-160.9,-0.13,0.381,-182.5,1/8,1.81,False
15min,2,0.5,0.05,2R,10,4,0,1,kz,"(1, -1)",3813,569,0.91,-244.3,-0.1,0.393,-364.0,2/8,1.82,False
15min,2,0.5,0.05,2R,10,4,1,0,all,"(1,)",8062,1201,0.902,-564.2,-0.11,0.392,-771.7,3/8,1.82,False
15min,2,0.5,0.05,2R,10,4,1,0,all,"(-1,)",8613,1283,0.826,-1102.2,-0.14,0.375,-1138.5,0/8,1.81,False
15min,2,0.5,0.05,2R,10,4,1,0,all,"(1, -1)",16675,2484,0.862,-1666.4,-0.14,0.383,-1771.3,1/8,1.81,False
15min,2,0.5,0.05,2R,10,4,1,0,kz,"(1,)",4100,611,0.91,-263.1,-0.1,0.393,-401.0,2/8,1.82,False
15min,2,0.5,0.05,2R,10,4,1,0,kz,"(-1,)",4417,658,0.835,-531.1,-0.14,0.376,-562.8,0/8,1.81,False
15min,2,0.5,0.05,2R,10,4,1,0,kz,"(1, -1)",8517,1269,0.871,-794.1,-0.14,0.384,-864.8,2/8,1.81,False
15min,2,0.5,0.05,2R,10,4,1,1,all,"(1,)",4155,620,0.949,-148.8,-0.06,0.403,-343.2,2/8,1.82,False
15min,2,0.5,0.05,2R,10,4,1,1,all,"(-1,)",3143,470,0.803,-461.1,-0.14,0.365,-476.6,1/8,1.82,False
