rule,k,block,sl_buf,tp_mode,h4_trend,sides,n,per_yr,pf,net_r,mar,wr,dd,pos_years,avg_rr,gate_pass
15min,3,mitigation,0.05,2R,0,"(-1,)",1404,209,0.854,-145.8,-0.14,0.35,-160.2,2/8,1.9,False
15min,3,mitigation,0.05,2R,0,"(1, -1)",2888,430,0.927,-146.1,-0.09,0.366,-255.1,2/8,1.9,False
15min,3,mitigation,0.05,2R,1,"(1,)",907,135,1.016,9.7,0.02,0.386,-93.4,3/8,1.9,False
15min,3,mitigation,0.05,2R,1,"(-1,)",624,93,0.84,-71.9,-0.11,0.346,-94.9,2/8,1.9,False
15min,3,mitigation,0.05,2R,1,"(1, -1)",1531,228,0.941,-62.2,-0.06,0.37,-150.4,2/8,1.9,False
15min,3,mitigation,0.05,3R,0,"(1,)",1484,221,1.141,153.5,0.24,0.325,-96.7,5/8,2.87,False
15min,3,mitigation,0.05,3R,0,"(-1,)",1404,209,0.899,-112.1,-0.11,0.279,-156.4,2/8,2.86,False
15min,3,mitigation,0.05,3R,0,"(1, -1)",2888,430,1.019,41.3,0.03,0.303,-198.2,4/8,2.86,False
15min,3,mitigation,0.05,3R,1,"(1,)",907,135,1.182,119.9,0.29,0.336,-62.2,3/8,2.87,False
15min,3,mitigation,0.05,3R,1,"(-1,)",624,93,0.941,-28.7,-0.07,0.288,-62.6,3/8,2.86,False
15min,3,mitigation,0.05,3R,1,"(1, -1)",1531,228,1.08,91.2,0.15,0.317,-90.4,4/8,2.87,False
15min,3,mitigation,0.15,2R,0,"(1,)",1502,224,0.984,-15.9,-0.02,0.376,-155.7,4/8,1.91,False
15min,3,mitigation,0.15,2R,0,"(-1,)",1413,211,0.82,-182.4,-0.14,0.338,-190.4,2/8,1.9,False
15min,3,mitigation,0.15,2R,0,"(1, -1)",2915,434,0.902,-198.3,-0.1,0.358,-295.3,4/8,1.91,False
15min,3,mitigation,0.15,2R,1,"(1,)",912,136,1.022,13.5,0.02,0.386,-88.1,3/8,1.91,False
15min,3,mitigation,0.15,2R,1,"(-1,)",629,94,0.814,-84.0,-0.13,0.337,-97.5,1/8,1.91,False
15min,3,mitigation,0.15,2R,1,"(1, -1)",1541,230,0.933,-70.5,-0.07,0.366,-148.9,2/8,1.91,False
15min,3,mitigation,0.15,3R,0,"(1,)",1502,224,1.107,117.3,0.17,0.322,-105.8,5/8,2.88,False
15min,3,mitigation,0.15,3R,0,"(-1,)",1413,211,0.906,-103.5,-0.12,0.281,-131.5,1/8,2.87,False
15min,3,mitigation,0.15,3R,0,"(1, -1)",2915,434,1.006,13.9,0.01,0.302,-212.8,3/8,2.88,False
15min,3,mitigation,0.15,3R,1,"(1,)",912,136,1.181,118.0,0.27,0.338,-65.3,3/8,2.88,False
15min,3,mitigation,0.15,3R,1,"(-1,)",629,94,0.928,-35.2,-0.09,0.285,-58.1,3/8,2.87,False
